dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-43
the8x3_filename: 00560043
filename_extension: tbd
filename_label: sunfish-2022-110-0-43-tbd(00560043)
mission_name: regm20.mi
fileopen_time: Sun_May__1_02:25:15_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-43
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1651371979.002 32.66 378.477 92.446 NaN NaN NaN 
NaN NaN NaN 1651371983.002 NaN NaN NaN 3.22369 0.01586 4.0011 
0.000708492 1.0848 1.095 1651372021.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651372044.002 NaN NaN NaN 3.22467 0.6955 4.002 
NaN NaN NaN 1651372100.002 32.637 378.93 92.593 NaN NaN NaN 
NaN NaN NaN 1651372105.002 NaN NaN NaN 3.22511 1.49931 3.9999 
NaN NaN NaN 1651372166.002 NaN NaN NaN 3.22573 2.22366 4.0018 
NaN NaN NaN 1651372221.002 32.639 378.799 92.574 NaN NaN NaN 
NaN NaN NaN 1651372227.002 NaN NaN NaN 3.22586 2.93036 3.9982 
NaN NaN NaN 1651372288.002 NaN NaN NaN 3.22218 3.57487 3.9641 
0.000282672 0.9944 0.8614 1651372322.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651372342.002 32.75 377.832 91.986 NaN NaN NaN 
NaN NaN NaN 1651372349.002 NaN NaN NaN 3.21241 4.10669 3.8311 
NaN NaN NaN 1651372410.002 NaN NaN NaN 3.19991 4.78831 3.6827 
NaN NaN NaN 1651372463.002 32.951 374.279 90.757 NaN NaN NaN 
NaN NaN NaN 1651372471.002 NaN NaN NaN 3.20063 5.44806 3.6865 
NaN NaN NaN 1651372532.002 NaN NaN NaN 3.19844 6.09122 3.657 
NaN NaN NaN 1651372584.002 33.07 371.548 89.97 NaN NaN NaN 
NaN NaN NaN 1651372593.002 NaN NaN NaN 3.19638 6.7054 3.6291 
0.000221064 0.9944 0.3577 1651372623.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651372654.002 NaN NaN NaN 3.19547 7.31636 3.6129 
NaN NaN NaN 1651372705.002 33.208 368.131 89.047 NaN NaN NaN 
