dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-66
the8x3_filename: 00560066
filename_extension: tbd
filename_label: sunfish-2022-110-0-66-tbd(00560066)
mission_name: regm20.mi
fileopen_time: Tue_May_10_08:24:24_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-66
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652171126.002 NaN NaN NaN 3.11929 0.0411 3.0249 
NaN NaN NaN 1652171138.002 33.122 380.81 90.643 NaN NaN NaN 
NaN NaN NaN 1652171187.002 NaN NaN NaN 3.11982 0.61505 3.0286 
0.00026274 0.9944 0.8322 1652171198.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652171248.002 NaN NaN NaN 3.12008 1.55279 3.0267 
NaN NaN NaN 1652171259.002 33.125 380.4 90.594 NaN NaN NaN 
NaN NaN NaN 1652171309.002 NaN NaN NaN 3.1209 2.37224 3.0321 
NaN NaN NaN 1652171370.002 NaN NaN NaN 3.12241 3.12065 3.0439 
NaN NaN NaN 1652171380.002 33.128 380.032 90.544 NaN NaN NaN 
NaN NaN NaN 1652171431.002 NaN NaN NaN 3.12244 3.85697 3.0396 
NaN NaN NaN 1652171492.002 NaN NaN NaN 3.12409 4.61808 3.0195 
0.000230124 0.9944 0.584 1652171499.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652171501.002 33.173 378.954 90.246 NaN NaN NaN 
NaN NaN NaN 1652171553.002 NaN NaN NaN 3.12641 5.33713 3.0061 
NaN NaN NaN 1652171614.002 NaN NaN NaN 3.12884 6.04087 3.0001 
NaN NaN NaN 1652171622.002 33.348 374.018 89.017 NaN NaN NaN 
NaN NaN NaN 1652171675.002 NaN NaN NaN 3.13028 6.72871 3.003 
NaN NaN NaN 1652171736.002 NaN NaN NaN 3.13396 7.38607 3.0148 
NaN NaN NaN 1652171743.002 33.472 370.137 88.12 NaN NaN NaN 
NaN NaN NaN 1652171797.002 NaN NaN NaN 3.13516 8.0354 3.0183 
0.000204756 0.9944 0.3358 1652171800.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652171858.002 NaN NaN NaN 3.13824 8.66328 3.0315 
