dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-71
the8x3_filename: 00560071
filename_extension: tbd
filename_label: sunfish-2022-110-0-71-tbd(00560071)
mission_name: regm20.mi
fileopen_time: Wed_May_11_13:35:49_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-71
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652276152.559 0 0 0 NaN NaN NaN 
NaN NaN NaN 1652276209.002 NaN NaN NaN 3.09678 0.0318 2.8777 
NaN NaN NaN 1652276270.002 NaN NaN NaN 3.09496 0.68422 2.8526 
NaN NaN NaN 1652276274.002 32.979 386.942 91.86 NaN NaN NaN 
NaN NaN NaN 1652276331.002 NaN NaN NaN 3.0955 1.55204 2.8462 
0.0002718 0.9944 0.2482 1652276334.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652276392.002 NaN NaN NaN 3.10564 2.33046 2.9087 
NaN NaN NaN 1652276395.002 33.049 384.792 91.346 NaN NaN NaN 
NaN NaN NaN 1652276453.002 NaN NaN NaN 3.11453 3.22594 2.961 
NaN NaN NaN 1652276514.002 NaN NaN NaN 3.11091 4.03503 2.9028 
NaN NaN NaN 1652276516.002 33.202 379.731 90.194 NaN NaN NaN 
NaN NaN NaN 1652276575.002 NaN NaN NaN 3.11115 4.7947 2.8936 
0.000228312 0.9944 0.6716 1652276635.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652276636.002 NaN NaN NaN 3.11129 5.55481 2.8916 
NaN NaN NaN 1652276637.002 33.28 377.849 89.675 NaN NaN NaN 
NaN NaN NaN 1652276697.002 NaN NaN NaN 3.1116 6.32419 2.8919 
NaN NaN NaN 1652276758.002 33.308 377.063 89.482 3.11223 7.09822 2.8899 
NaN NaN NaN 1652276819.002 NaN NaN NaN 3.12808 7.89786 2.9842 
NaN NaN NaN 1652276879.002 33.534 366.9 87.546 NaN NaN NaN 
NaN NaN NaN 1652276880.002 NaN NaN NaN 3.14523 8.6805 3.1348 
0.000188448 0.9944 0.2847 1652276936.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652276941.002 NaN NaN NaN 3.16453 9.41593 3.2703 
