dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-158-0-2
the8x3_filename: 00570002
filename_extension: tbd
filename_label: sunfish-2022-158-0-2-tbd(00570002)
mission_name: regm20.mi
fileopen_time: Wed_Jun__8_06:04:58_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-158-0-2
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1654668353.002 32.077 382.337 95.457 NaN NaN NaN 
NaN NaN NaN 1654668357.002 NaN NaN NaN 3.06655 0.02189 4.8428 
NaN NaN NaN 1654668418.002 NaN NaN NaN 3.06782 0.50279 4.8526 
NaN NaN NaN 1654668474.002 32.064 382.628 95.548 NaN NaN NaN 
NaN NaN NaN 1654668479.002 NaN NaN NaN 3.05172 1.43392 4.727 
0.000268176 1.356 1.5476 1654668491.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1654668540.002 NaN NaN NaN 2.93277 2.49417 3.1297 
NaN NaN NaN 1654668595.002 32.899 404.224 93.829 NaN NaN NaN 
NaN NaN NaN 1654668601.002 NaN NaN NaN 2.79984 3.51754 1.3448 
NaN NaN NaN 1654668662.002 NaN NaN NaN 2.67704 4.53168 -0.3555 
NaN NaN NaN 1654668716.002 34.125 406.814 88.53 NaN NaN NaN 
NaN NaN NaN 1654668723.002 NaN NaN NaN 2.69492 5.50755 -0.2519 
NaN NaN NaN 1654668784.002 NaN NaN NaN 2.7108 6.49414 -0.1215 
NaN NaN NaN 1654668837.002 34.738 383.981 84.032 NaN NaN NaN 
NaN NaN NaN 1654668845.002 NaN NaN NaN 2.72446 7.45584 0.0061 
NaN NaN NaN 1654668906.002 NaN NaN NaN 2.72611 8.42833 0.0031 
NaN NaN NaN 1654668958.002 34.967 376.306 82.456 NaN NaN NaN 
NaN NaN NaN 1654668967.002 NaN NaN NaN 2.73023 9.37829 0.0111 
NaN NaN NaN 1654669028.002 NaN NaN NaN 2.71308 10.3249 -0.2496 
NaN NaN NaN 1654669079.002 35.032 376.599 82.215 NaN NaN NaN 
NaN NaN NaN 1654669089.002 NaN NaN NaN 2.73561 11.265 -0.0482 
NaN NaN NaN 1654669150.002 NaN NaN NaN 2.73623 12.2055 -0.0297 
