dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-1-0
the8x3_filename: 00250000
filename_extension: sbd
filename_label: sunfish-2021-291-1-0-sbd(00250000)
mission_name: dive3.mi
fileopen_time: Tue_Oct_19_13:53:43_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-1-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0793402 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651646.125 0.00793402 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 0 NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN 4.2394 NaN NaN NaN 1634651704.009 NaN 1.7221 0.13439 NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.123114 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651708.017 0.0123114 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.58954 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651740.107 0.158954 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN 4.36681 NaN NaN NaN 1634651764.127 NaN 69.6996 0.0139626 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.79863 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651772.138 0.679863 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.34581 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651804.238 0.734581 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN 4.3738 NaN NaN NaN 1634651824.27 NaN 68.8733 0.0226893 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.23637 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651836.282 0.723637 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.14202 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651868.372 0.614202 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN 4.34412 NaN NaN NaN 1634651884.435 NaN NaN 0.020944 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.15031 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651900.532 0.415031 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.89596 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651932.649 0.189596 NaN NaN NaN NaN NaN NaN 
430 0.9 0 NaN 0 NaN NaN NaN 0 14.8527 0.0530183 NaN NaN NaN 0 NaN NaN NaN NaN 4.70017 4725.05807192252 -5307.68456619872 0.378736 1634651944.684 NaN NaN 0.0226893 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634651964.704 -0.0183303 NaN NaN NaN NaN NaN NaN 
