dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-1-0
the8x3_filename: 00250000
filename_extension: tbd
filename_label: sunfish-2021-291-1-0-tbd(00250000)
mission_name: dive3.mi
fileopen_time: Tue_Oct_19_13:53:38_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-1-0
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
700 4130 0.0073984 460 59 0.8136 695 2673 19.1844 538 -0.311 1634651618.552 279.035 94.146 17.875 0.00031 -0.01086 16.6882 
700 296 0.000451188 460 74 2.1696 695 115 0.511 543 75.137 1634651694 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 79.137 1634651698 308.812 91.446 11.859 NaN NaN NaN 
700 294 0.000447564 460 63 1.1752 695 80 0.2555 542 80.137 1634651699 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 83.137 1634651702 NaN NaN NaN 3.52748 0.00304 11.8544 
700 302 0.00046206 460 60 0.904 695 79 0.2482 542 84.137 1634651703 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 85.137 1634651704 308.756 91.406 11.848 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.137 1634651706 NaN NaN NaN 3.52668 0.00688 11.8417 
700 294 0.000447564 460 61 0.9944 695 79 0.2482 541 89.137 1634651708 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 91.137 1634651710 308.875 91.418 11.837 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 92.137 1634651711 NaN NaN NaN 3.52737 0.01599 11.843 
700 268 0.000400452 460 63 1.1752 695 84 0.2847 541 93.137 1634651712 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 96.137 1634651715 NaN NaN NaN 3.52801 0.02792 11.8875 
