dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-0
the8x3_filename: 00260000
filename_extension: sbd
filename_label: sunfish-2021-291-2-0-sbd(00260000)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:04:08_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652272.006 -0.00683825 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 3.56548 NaN NaN NaN 0 NaN NaN NaN NaN NaN 0.631855 0.00289484 NaN NaN NaN NaN 4.42092 NaN NaN NaN 1634652304.033 0.0631855 68.8733 0.193732 NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.4112 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652336.118 1.34112 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.157618 3.54653 NaN NaN NaN NaN NaN NaN NaN NaN NaN 32.5364 -0.205534 NaN NaN NaN NaN 3.53778 NaN NaN NaN 1634652370.135 3.25364 NaN 0.0279253 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652374.144 NaN 41.0051 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 38.4313 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652382.156 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 48.051 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634652402.175 4.8051 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.00375077 3.63038 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN 3.71406 NaN NaN NaN 1634652430.292 NaN NaN 0.0279253 NaN NaN NaN 5 
