dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-0
the8x3_filename: 00260000
filename_extension: tbd
filename_label: sunfish-2021-291-2-0-tbd(00260000)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:04:05_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-0
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
0 0 0 0 0 0 0 0 0 0 1.666 1634652245.299 0 0 0 0 0 0 
700 294 0.000447564 460 63 1.1752 695 92 0.3431 548 18.367 1634652262 NaN NaN NaN NaN NaN NaN 
700 287 0.00043488 460 62 1.0848 695 92 0.3431 548 19.367 1634652263 NaN NaN NaN NaN NaN NaN 
700 315 0.000485616 460 66 1.4464 695 89 0.3212 548 20.367 1634652264 NaN NaN NaN NaN NaN NaN 
700 290 0.000440316 460 63 1.1752 695 89 0.3212 548 21.367 1634652265 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.367 1634652266 308.494 91.288 11.829 NaN NaN NaN 
700 281 0.000424008 460 64 1.2656 695 86 0.2993 547 23.367 1634652267 NaN NaN NaN NaN NaN NaN 
700 288 0.000436692 460 63 1.1752 695 91 0.3358 547 24.367 1634652268 308.425 91.262 11.826 NaN NaN NaN 
700 280 0.000422196 460 63 1.1752 695 102 0.4161 547 25.367 1634652269 NaN NaN NaN NaN NaN NaN 
700 289 0.000438504 460 63 1.1752 695 91 0.3358 547 26.367 1634652270 308.496 91.283 11.826 3.52227 0.01027 11.8127 
700 274 0.000411324 460 63 1.1752 695 93 0.3504 547 27.367 1634652271 NaN NaN NaN 3.52227 0.01359 11.8119 
700 281 0.000424008 460 63 1.1752 695 91 0.3358 547 28.367 1634652272 308.531 91.293 11.826 3.52236 0.01487 11.8116 
700 318 0.000491052 460 63 1.1752 695 95 0.365 547 29.367 1634652273 NaN NaN NaN 3.52262 0.0165 11.809 
