dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-294-2-0
the8x3_filename: 00290000
filename_extension: sbd
filename_label: sunfish-2021-294-2-0-sbd(00290000)
mission_name: regm20.mi
fileopen_time: Fri_Oct_22_14:06:55_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-294-2-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911639.006 -0.00382922 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 0.129126 NaN NaN NaN 0 NaN NaN NaN NaN 0.333689 NaN 0.00289484 NaN NaN NaN NaN 4.71937 NaN NaN NaN 1634911671.031 0.0333689 3.80171 -0.232129 NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.62015 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911703.111 0.762015 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.45 0.135433 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.451516 NaN NaN NaN NaN 5.53793 NaN NaN NaN 1634911731.134 NaN NaN -0.0733038 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.7248 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911735.142 2.37248 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 36.0439 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911767.215 3.60439 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0906938 0.138999 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.104214 NaN NaN NaN NaN 0.226893 NaN NaN NaN 1634911791.23 NaN NaN -0.0663225 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 45.9123 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911799.24 4.59123 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 55.6495 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911831.262 5.56495 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0612426 0.139667 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0781607 NaN NaN NaN NaN 0.0314159 NaN NaN NaN 1634911851.279 NaN NaN -0.0733038 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 65.4085 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911863.347 6.54085 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 74.5987 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911895.37 7.45987 94.065 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 92.5968 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634911903.378 NaN NaN NaN NaN NaN NaN NaN 
-0.9 -430 0.0707103 0.139939 -0.3491 NaN NaN NaN 15.1116 -0.91157 NaN NaN NaN -430.279 0.0607917 NaN NaN NaN NaN 0.0296706 4729.37464857251 -5307.02581291313 -0.495674 1634911911.388 NaN NaN -0.0610865 NaN NaN NaN 4 
