dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-294-2-0
the8x3_filename: 00290000
filename_extension: tbd
filename_label: sunfish-2021-294-2-0-tbd(00290000)
mission_name: regm20.mi
fileopen_time: Fri_Oct_22_14:06:50_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-294-2-0
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
700 278 0.000418572 460 61 0.9944 695 115 0.511 552 18.494 1634911629 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.494 1634911633 317.131 92.875 11.376 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.494 1634911637 NaN NaN NaN 3.50055 0.02502 11.3426 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 37.494 1634911648 NaN NaN NaN 3.50088 0.02831 11.3462 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.494 1634911654 317.439 92.971 11.379 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 48.494 1634911659 NaN NaN NaN 3.50066 0.02125 11.3448 
700 276 0.000414948 460 61 0.9944 695 130 0.6205 550 49.494 1634911660 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 59.494 1634911670 NaN NaN NaN 3.50048 0.02372 11.3444 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 64.494 1634911675 317.237 92.905 11.376 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 70.494 1634911681 NaN NaN NaN 3.50155 0.07331 11.3486 
700 291 0.000442128 460 62 1.0848 695 103 0.4234 549 80.494 1634911691 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 81.494 1634911692 NaN NaN NaN 3.50159 0.32792 11.3363 
