dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-111
the8x3_filename: 00410111
filename_extension: sbd
filename_label: sunfish-2021-335-1-111-sbd(00410111)
mission_name: regm20.mi
fileopen_time: Sun_Dec_12_12:17:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-111
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.199274 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639311417.225 0.0199274 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN 0.160172 -0.0247736 NaN NaN NaN NaN NaN NaN 1639311452.217 -0.00191085 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 1.56321 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639311460 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.483172 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639311484.113 0.0483172 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.80259 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639311516.133 0.380259 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 1.56317 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639311520.142 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 7.29672 NaN NaN NaN NaN NaN NaN 3.44877 NaN NaN -0.493928 1639311548.159 0.729672 NaN 0.0314159 NaN NaN NaN 4 
NaN NaN -0.423035 1.56315 NaN NaN NaN NaN NaN NaN NaN NaN 11.992 NaN -0.427008 NaN NaN NaN NaN NaN NaN NaN NaN 1639311582.172 1.1992 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.27075 NaN NaN NaN 1639311612.178 NaN NaN 0.0733038 NaN NaN NaN 4 
-0.292662 -237.5 NaN NaN NaN NaN NaN NaN 14.8995 -0.29009 NaN NaN 16.9492 -227.553 NaN NaN NaN NaN NaN NaN 4850.09857015556 -5046.64288387715 NaN 1639311642.184 1.69492 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.43741 1.56303 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.394331 NaN NaN NaN NaN NaN NaN NaN NaN 1639311672.19 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.3215 NaN NaN NaN NaN NaN NaN 3.54302 NaN NaN NaN 1639311702.196 2.23215 NaN 0.0383972 NaN NaN NaN 4 
NaN NaN -0.42353 1.56292 NaN NaN NaN NaN NaN NaN NaN NaN 28.5454 NaN -0.439846 NaN NaN NaN NaN 3.38419 NaN NaN NaN 1639311762.207 2.85454 NaN 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639311792.212 NaN NaN NaN NaN 0.160172 -0.0247736 NaN 
