dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-12
the8x3_filename: 00410012
filename_extension: sbd
filename_label: sunfish-2021-335-1-12-sbd(00410012)
mission_name: regm20.mi
fileopen_time: Fri_Dec__3_11:42:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-12
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638531718.011 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.027308 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531736.036 0.0027308 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0423626 0.0248627 NaN NaN NaN NaN NaN NaN 1638531752.049 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.33352 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531760.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.13654 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531769.008 0.013654 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1638531781.075 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.114694 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531801.085 0.0114694 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.33338 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531821.102 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.00336 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531833.114 0.400336 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0115794 NaN NaN NaN NaN NaN NaN NaN NaN 1638531841.124 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.81871 NaN NaN -0.455531 1638531849.132 NaN NaN 0.0244346 NaN NaN NaN 4 
NaN NaN NaN 1.33198 NaN NaN NaN NaN NaN NaN NaN NaN 14.2275 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531887.508 1.42275 NaN NaN NaN NaN NaN NaN 
-0.432197 -287.5 -0.267768 NaN NaN NaN NaN NaN 14.7995 -0.416328 NaN NaN NaN -276.642 -0.338314 NaN NaN NaN NaN 2.66686 NaN NaN NaN 1638531917.514 NaN NaN 0.0226893 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.687 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638531947.519 2.3687 NaN NaN NaN NaN NaN NaN 
