dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-26
the8x3_filename: 00410026
filename_extension: sbd
filename_label: sunfish-2021-335-1-26-sbd(00410026)
mission_name: regm20.mi
fileopen_time: Sat_Dec__4_11:34:49_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-26
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.518671 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617684.78 0.0518671 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.322122 NaN NaN 0.0570449 -0.0699351 NaN NaN NaN NaN NaN NaN 1638617720.08 0.0322122 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.753067 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617726.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00578968 NaN NaN NaN NaN NaN NaN NaN NaN 1638617731.007 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.671542 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617751.107 0.0671542 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.474993 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617783.129 0.0474993 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.751388 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617787.138 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0752659 NaN NaN NaN NaN NaN NaN NaN NaN 1638617791.142 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.22668 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617815.158 0.322668 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 8.4243 NaN NaN NaN NaN NaN NaN 5.26217 NaN NaN -0.308923 1638617845.798 0.84243 NaN 0.0191986 7.99053 NaN NaN 4 
NaN NaN NaN 0.752191 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617849.861 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.376546 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.351151 NaN NaN NaN NaN NaN NaN NaN NaN 1638617853.863 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 14.4736 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638617883.869 1.44736 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.348916 0.754086 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.37916 NaN NaN NaN NaN 5.85034 NaN NaN NaN 1638617913.875 NaN NaN 0.0453786 NaN NaN NaN 4 
