dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-79
the8x3_filename: 00410079
filename_extension: sbd
filename_label: sunfish-2021-335-1-79-sbd(00410079)
mission_name: regm20.mi
fileopen_time: Thu_Dec__9_01:10:07_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-79
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.333075 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012213.138 0.0333075 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639012225.15 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012229.158 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0263966 -0.122718 NaN NaN NaN NaN NaN NaN 1639012237.164 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.33422 NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012245 -0.0365836 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.333075 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012277.3 0.0333075 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00868453 NaN NaN NaN NaN NaN NaN NaN NaN 1639012285.308 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012289.315 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.3342 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012305.324 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.6919 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012309.332 0.26919 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012337.348 NaN NaN NaN 8.13431 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.19114 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012341.355 0.719114 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00868453 NaN NaN NaN NaN 5.23075 NaN NaN NaN 1639012345.36 NaN NaN 0.0244346 NaN NaN NaN 5 
NaN NaN 0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639012349.366 NaN NaN NaN NaN NaN NaN NaN 
-0.163855 -212.5 NaN 1.33426 -0.3491 NaN NaN NaN 14.9071 -0.144431 NaN NaN 12.8043 -205.547 NaN NaN NaN NaN NaN NaN 4829.33279542284 -5213.81412252031 -0.336849 1639012379.37 1.28043 NaN NaN NaN NaN NaN NaN 
