dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-97
the8x3_filename: 00410097
filename_extension: sbd
filename_label: sunfish-2021-335-1-97-sbd(00410097)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_22:10:04_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-97
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.147409 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174199.803 0.0147409 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00578968 NaN NaN NaN NaN NaN NaN NaN NaN 1639174230.028 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.169248 NaN NaN 0.1276 -0.0381604 NaN NaN NaN 4840.42320010507 -5125.53570000088 NaN 1639174234.036 0.0169248 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.55918 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174241 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.474986 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174265.111 0.0474986 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1639174289.125 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.46685 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174297.133 0.346685 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.55921 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174301.142 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.51 NaN NaN -0.431096 1639174325.161 NaN NaN 0.0244346 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.18395 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174329.169 0.818395 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.450349 NaN NaN NaN NaN NaN NaN NaN NaN 1639174359.175 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.55928 NaN NaN NaN NaN NaN NaN NaN NaN 14.6481 NaN NaN NaN NaN NaN NaN 6.12611 NaN NaN NaN 1639174389.18 1.46481 NaN 0.0453786 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639174419.186 NaN NaN NaN NaN 0.1276 -0.0381604 NaN 
NaN NaN 0.332397 NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.772 NaN 0.384995 NaN NaN NaN NaN NaN NaN NaN NaN 1639174449.191 2.2772 NaN NaN NaN NaN NaN NaN 
