dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: sbd
filename_label: sunfish-2021-348-1-0-sbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:07:00_2021
sensors_per_cycle: 28
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy 
in cc rad rad rad lat lon m volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 
NaN NaN 0 1.68286 NaN NaN NaN 0 NaN NaN 0 NaN 0 NaN NaN NaN NaN 5.43496 NaN NaN NaN 1639584466.002 -0.0458729 1.63712 0.125664 NaN NaN NaN 
NaN NaN 0 1.68238 NaN NaN NaN NaN NaN NaN 0.414982 NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639584526.104 0.0414982 NaN NaN NaN NaN NaN 
NaN NaN 0 1.68236 NaN NaN NaN NaN NaN NaN 0.589724 NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639584586.145 0.0589724 NaN NaN NaN NaN NaN 
NaN NaN 0 1.68236 NaN NaN NaN NaN NaN NaN 1.87845 NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639584646.236 0.187845 NaN NaN NaN NaN NaN 
NaN NaN 0 1.68236 NaN NaN NaN NaN NaN NaN 3.5385 NaN -0.00289484 NaN NaN NaN NaN NaN 4834.95920010389 -4913.6719999887 NaN 1639584707.506 0.35385 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.3791 NaN NaN NaN 1639584767.281 NaN NaN 0.0925025 NaN NaN NaN 
NaN NaN 0.45 1.68265 NaN NaN NaN NaN NaN NaN 7.71047 NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639584771.29 0.771047 NaN NaN NaN NaN NaN 
0 NaN NaN NaN -0.4538 NaN NaN NaN 14.7068 -0.0198114 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.420624 1639584805.302 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.45 1.68271 NaN NaN NaN NaN NaN NaN 13.4551 NaN 0.451516 NaN NaN NaN NaN 5.6985 NaN NaN NaN 1639584835.308 1.34551 NaN 0.0837758 NaN NaN NaN 
NaN NaN 0.37789 1.683 NaN NaN NaN NaN NaN NaN 22.7383 NaN 0.450349 NaN NaN NaN NaN 0.165806 NaN NaN NaN 1639584925.323 2.27383 NaN 0.0680678 NaN NaN NaN 
