dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-19
the8x3_filename: 00450019
filename_extension: sbd
filename_label: sunfish-2021-349-0-19-sbd(00450019)
mission_name: regm20.mi
fileopen_time: Thu_Dec_23_15:34:33_2021
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-19
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0219709 -0.045189 NaN NaN NaN NaN NaN NaN 1640273701.759 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273722.026 0.0275736 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.444642 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273742.099 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.341258 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273750.107 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273814.154 0.728654 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.100239 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273818.162 NaN NaN 0.0314159 NaN NaN NaN NaN NaN 
-0.47128 NaN -0.391128 NaN NaN NaN NaN NaN NaN NaN 15.0808 -0.408236 12.9432 NaN -0.41067 NaN NaN NaN NaN NaN NaN NaN NaN 1640273852.587 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.58999 NaN NaN -0.345575 1640273882.593 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273912.598 2.11116 NaN 0.0279253 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273942.604 NaN NaN NaN 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 28.8213 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640273972.61 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274002.616 3.25342 NaN 0.0226893 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 40.7899 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274062.627 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -322.582 NaN NaN NaN NaN NaN NaN 4916.78632445481 -4715.54678950576 NaN 1640274092.633 NaN NaN NaN NaN 7.71511 -0.0219709 -0.045189 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.133634 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274122.639 4.87835 NaN 0.015708 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.444226 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274152.645 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 56.6461 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274182.651 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274242.663 6.47926 NaN 0.0191986 NaN NaN NaN NaN NaN 
-0.50477 NaN 0.0408727 NaN NaN NaN NaN NaN NaN NaN 15.0784 -0.408236 NaN NaN 0.0144742 NaN NaN NaN NaN NaN NaN NaN NaN 1640274272.669 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 72.4368 NaN NaN NaN NaN NaN NaN 6.26573 NaN NaN -0.366519 1640274302.675 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274362.687 8.00154 NaN 0.020944 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.1354 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274422.699 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.121021 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274452.705 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274482.71 9.37531 NaN 0.0296706 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 100.283 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274542.721 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.444359 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640274572.726 NaN NaN NaN NaN NaN NaN NaN NaN 
