dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-32
the8x3_filename: 00450032
filename_extension: sbd
filename_label: sunfish-2021-349-0-32-sbd(00450032)
mission_name: regm20.mi
fileopen_time: Tue_Dec_28_10:54:45_2021
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-32
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0201968 -0.109246 NaN NaN NaN NaN NaN NaN 1640688919.21 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640688927 -0.0445 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.91991 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689019.159 0.791991 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.116984 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0523599 NaN NaN -0.462512 1640689023.166 NaN NaN 0.0645772 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -323.057 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689061.182 NaN NaN NaN NaN NaN NaN NaN 0 
-0.572019 NaN 0.14358 NaN NaN NaN NaN NaN NaN NaN 15.0497 -0.644528 NaN NaN 0.18527 NaN NaN NaN NaN NaN NaN NaN NaN 1640689091.188 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 18.5999 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689121.194 1.85999 NaN 0.0471239 0 NaN NaN NaN NaN 
NaN NaN NaN 0.828703 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689181.207 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 29.8478 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689211.212 2.98478 NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689271.223 NaN NaN NaN NaN NaN -0.0201968 -0.109246 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4946.17009622711 -4641.19852793784 NaN 1640689301.229 NaN NaN NaN NaN 7.6948 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.12168 NaN NaN 44.612 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689331.235 4.4612 NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 59.0049 NaN NaN NaN NaN NaN NaN 0.677188 NaN NaN -0.328122 1640689451.258 5.90049 NaN 0.0471239 NaN NaN NaN NaN NaN 
-0.491344 NaN 0.0440993 NaN NaN NaN NaN NaN NaN NaN 15.0591 -0.516672 NaN NaN 0.0231587 NaN NaN NaN NaN NaN NaN NaN NaN 1640689511.27 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.507 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689571.282 7.3507 NaN 0.0453786 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.829493 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689601.288 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.117386 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689661.299 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.1136 -324.1 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689691.305 8.71136 NaN 0.0331613 NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 99.7592 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689811.328 9.97592 NaN 0.0383972 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.42972 NaN NaN -0.324631 1640689871.339 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 109.937 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689901.345 10.9937 NaN 0.0453786 NaN NaN NaN NaN NaN 
-0.491344 NaN 0.275557 NaN NaN NaN NaN NaN NaN NaN 15.0883 -0.516672 NaN NaN 0.393164 NaN NaN NaN NaN NaN 4946.24623408315 -4641.21828196928 NaN 1640689931.351 NaN NaN NaN NaN 7.67843 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.109898 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640689991.363 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.8327 NaN NaN NaN NaN NaN NaN NaN NaN 122.735 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640690021.369 12.2735 NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 134.704 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1640690141.392 13.4704 NaN 0.0523599 NaN NaN NaN NaN NaN 
