dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-4
the8x3_filename: 00450004
filename_extension: sbd
filename_label: sunfish-2021-349-0-4-sbd(00450004)
mission_name: regm20.mi
fileopen_time: Fri_Dec_17_20:43:42_2021
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-4
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639773827.677 -0.00329525 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0383439 -0.0614547 NaN NaN NaN NaN NaN NaN 1639773854.244 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.06591 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639773862 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639773866.008 NaN NaN NaN NaN NaN 0.0383439 -0.0614547 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0325876 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639773918.098 0.00325876 NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -323.465 NaN NaN NaN NaN NaN NaN 4839.34320010183 -4824.4795998852 NaN 1639773958.133 NaN NaN NaN NaN 9.5635 NaN NaN 5 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.111799 NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.6145 NaN NaN -0.548033 1639773982.208 NaN NaN 0.0191986 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.228 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774020.851 1.3228 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774080.872 NaN NaN 0.010472 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 25.1781 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774125.888 2.51781 NaN NaN NaN NaN NaN NaN NaN 
-0.543181 NaN -0.136374 NaN NaN NaN NaN NaN NaN NaN 14.9552 -0.555514 NaN NaN -0.162111 NaN NaN NaN NaN NaN NaN NaN NaN 1639774170.904 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774185.91 NaN NaN 0.015708 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 37.0627 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774230.926 3.70627 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.0657 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774275.942 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.110924 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774290.947 NaN NaN 0.0122173 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 48.5978 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774335.962 4.85978 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.916298 NaN NaN -0.324631 1639774395.985 NaN NaN 0.00872665 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 60.4387 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774441 6.04387 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774501.022 NaN NaN 0.00872665 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 71.7771 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774546.038 7.17771 NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -324.055 NaN NaN NaN NaN NaN NaN 4839.38173205699 -4824.37963660532 NaN 1639774561.042 NaN NaN NaN NaN 7.75081 NaN NaN 0 
-0.543181 NaN 0.0763573 NaN NaN NaN NaN NaN NaN NaN 14.9757 -0.555514 NaN NaN 0.0636865 NaN NaN NaN NaN NaN NaN NaN NaN 1639774576.049 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.106949 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774606.06 NaN NaN 0.00698132 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 83.0063 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774651.076 8.30063 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.06587 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774681.087 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639774711.098 NaN NaN 0.00698132 NaN NaN NaN NaN NaN 
