dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-46
the8x3_filename: 00450046
filename_extension: sbd
filename_label: sunfish-2021-349-0-46-sbd(00450046)
mission_name: regm20.mi
fileopen_time: Sun_Jan__2_10:27:22_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-46
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.043691 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119251.537 0.0043691 NaN NaN NaN NaN NaN NaN NaN 
NaN 45 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 46.971 NaN -0.0589081 -0.0302843 NaN NaN NaN NaN NaN NaN 1641119271.555 NaN NaN NaN NaN NaN NaN NaN 3 
0 NaN 0 0.258282 NaN NaN NaN NaN NaN NaN 15.0872 -0.0198114 NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1641119324.116 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0655365 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119344.135 0.00655365 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5039.68330012467 -4653.36270001755 NaN 1641119396.176 NaN NaN NaN NaN 7.6817 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.16532 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119436.259 0.716532 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.13544 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.45583 NaN NaN -0.548033 1641119440.266 NaN NaN 0.0663225 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 20.7532 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119538.292 2.07532 NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119628.308 NaN NaN NaN NaN NaN -0.0589081 -0.0302843 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 33.3581 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119658.314 3.33581 NaN 0.0366519 NaN NaN NaN NaN NaN 
-0.65194 NaN 0.049514 0.258778 NaN NaN NaN NaN NaN 0.117284 15.0523 -0.662331 NaN NaN 0.0521072 NaN NaN NaN NaN NaN NaN NaN NaN 1641119748.332 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 47.0333 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119778.337 4.70333 NaN 0.0383972 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.164061 NaN NaN -0.305433 1641119868.354 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -355 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 60.6868 -347.081 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641119898.36 6.06868 NaN 0.0383972 NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 74.4931 NaN NaN NaN NaN NaN NaN NaN 5039.75338138763 -4653.42564293577 NaN 1641120018.383 7.44931 NaN 0.0383972 NaN 7.65518 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.113982 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120078.395 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.5786 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120138.408 8.75786 NaN 0.0418879 NaN NaN NaN NaN NaN 
-0.549253 NaN 0.0369394 0.259082 NaN NaN NaN NaN NaN NaN 15.0548 -0.532856 NaN NaN 0.0521072 NaN NaN NaN NaN NaN NaN NaN NaN 1641120168.414 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 101.516 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120258.431 10.1516 NaN 0.0401426 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.11563 NaN NaN -0.336849 1641120288.437 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 115.825 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120378.455 11.5825 NaN 0.0383972 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.116091 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120408.46 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 129.478 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120498.478 12.9478 NaN 0.0418879 NaN NaN NaN NaN NaN 
NaN -355 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -347.965 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641120528.484 NaN NaN NaN NaN NaN NaN NaN 0 
-0.549253 NaN 0.131367 0.25973 NaN NaN NaN NaN NaN NaN 15.108 -0.532856 139.855 NaN 0.127373 NaN NaN NaN NaN NaN NaN NaN NaN 1641120588.496 13.9855 NaN 0.0436332 NaN NaN NaN NaN NaN 
