dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-58
the8x3_filename: 00450058
filename_extension: sbd
filename_label: sunfish-2021-349-0-58-sbd(00450058)
mission_name: regm20.mi
fileopen_time: Thu_Jan__6_14:33:56_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-58
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0409604 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641479663.558 0.00409604 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0147065 0.0239946 NaN NaN NaN NaN NaN NaN 1641479667.567 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7.18445 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641479756.148 0.718445 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.112056 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641479760.156 NaN NaN 0.0890118 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641479794.543 NaN NaN NaN 0 NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.606 NaN NaN -0.375246 1641479824.549 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.465525 NaN 0.0914173 NaN NaN NaN NaN NaN NaN NaN 15.0551 -0.39367 19.9204 NaN 0.138952 NaN NaN NaN NaN NaN NaN NaN NaN 1641479854.555 1.99204 NaN 0.0767945 NaN NaN NaN NaN NaN 
NaN NaN NaN 6.0024 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641479884.561 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 38.2706 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641479974.578 3.82706 NaN 0.0471239 NaN NaN -0.0147065 0.0239946 NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -321.335 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480004.583 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.170892 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480064.594 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 60.007 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480094.6 6.0007 NaN 0.0890118 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5117.06853410579 -4717.1127876562 NaN 1641480184.617 NaN NaN NaN NaN 7.64797 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 75.9542 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480214.624 7.59542 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.37561 NaN NaN -0.314159 1641480244.629 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.553469 NaN 0.150514 NaN NaN NaN NaN NaN NaN NaN 15.0445 -0.565225 NaN NaN 0.156321 NaN NaN NaN NaN NaN NaN NaN NaN 1641480274.634 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 6.00294 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480304.64 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 91.814 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480334.646 9.18141 NaN 0.0715585 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.126805 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480394.658 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 106.057 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480454.669 10.6057 NaN 0.0733038 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 122.376 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480574.692 12.2376 NaN 0.0663225 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -322.151 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480604.698 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.70025 NaN NaN -0.350811 1641480664.708 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.449756 NaN 0.0833054 NaN NaN NaN NaN NaN NaN NaN 15.0792 -0.43575 136.925 NaN 0.055002 NaN NaN NaN NaN NaN NaN NaN NaN 1641480694.713 13.6925 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN 6.00324 NaN NaN NaN NaN NaN 0.121959 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641480724.719 NaN NaN NaN NaN NaN NaN NaN NaN 
