dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-60
the8x3_filename: 00450060
filename_extension: sbd
filename_label: sunfish-2021-349-0-60-sbd(00450060)
mission_name: regm20.mi
fileopen_time: Fri_Jan__7_01:08:45_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-60
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0465329 0.0240402 NaN NaN NaN NaN NaN NaN 1641517758.53 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5121.02360013146 -4723.44380007281 NaN 1641517762.54 NaN NaN NaN NaN 9.48949 NaN NaN NaN 
NaN NaN NaN 6.02305 NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641517767.002 -0.0373988 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.60982 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641517859.144 0.560982 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0841752 NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.84321 NaN NaN -0.507891 1641517875.159 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641517879.281 NaN NaN NaN NaN NaN -0.0465329 0.0240402 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 17.0751 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641517969.297 1.70751 NaN 0.111701 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.3129 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518059.314 2.63129 NaN 0.0698132 NaN NaN NaN NaN NaN 
-0.362475 NaN 0.312756 NaN NaN NaN NaN NaN NaN NaN 15.0207 -0.348354 NaN NaN 0.313806 NaN NaN NaN NaN NaN NaN NaN NaN 1641518089.32 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 6.02402 NaN NaN NaN NaN NaN 0.0898658 NaN NaN 36.5334 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518179.337 3.65334 NaN 0.0837758 NaN NaN NaN NaN NaN 
NaN -280 NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 46.7103 -271.249 NaN NaN NaN NaN NaN 5.59029 NaN NaN -0.345575 1641518299.361 4.67103 NaN 0.10472 0 NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5121.0159063152 -4723.56391112976 NaN 1641518389.378 NaN NaN NaN NaN 7.66435 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 56.7343 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518419.384 5.67343 NaN 0.0855211 NaN NaN NaN NaN NaN 
-0.362475 NaN 0.0889147 NaN NaN NaN NaN NaN NaN 0.088634 15.0459 -0.349973 NaN NaN 0.0984246 NaN NaN NaN NaN NaN NaN NaN NaN 1641518509.402 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 68.1559 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518539.408 6.81559 NaN 0.0785398 NaN NaN NaN NaN NaN 
NaN NaN NaN 6.02439 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518599.419 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 80.2109 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518659.431 8.02109 NaN 0.0837758 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.92714 NaN NaN -0.31765 1641518719.443 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 91.6762 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518779.455 9.16762 NaN 0.0785398 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.101616 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518839.465 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 104.867 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641518899.476 10.4867 NaN 0.0767945 NaN NaN NaN NaN NaN 
-0.362475 -280 0.0835797 NaN NaN NaN NaN NaN NaN NaN 15.0891 -0.348354 NaN -272.11 0.0578968 NaN NaN NaN NaN NaN NaN NaN NaN 1641518929.482 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN 6.02464 NaN NaN NaN NaN NaN NaN NaN NaN 118.014 NaN NaN NaN NaN NaN NaN NaN 5121.06993097599 -4723.66958188546 NaN 1641519019.5 11.8014 NaN 0.0837758 NaN 7.6483 NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 128.234 NaN NaN NaN NaN NaN NaN 4.53786 NaN NaN -0.326377 1641519139.523 12.8234 NaN 0.0802851 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.091687 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641519169.529 NaN NaN NaN NaN NaN NaN NaN NaN 
