dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-72
the8x3_filename: 00450072
filename_extension: sbd
filename_label: sunfish-2021-349-0-72-sbd(00450072)
mission_name: regm20.mi
fileopen_time: Mon_Jan_10_23:52:53_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-72
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0916294 0.0705337 NaN NaN NaN NaN NaN NaN 1641858802.895 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 6.18963 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641858812 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.52412 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641858852.112 0.052412 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641858856.119 NaN NaN NaN NaN NaN NaN NaN 5 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -320.632 NaN NaN NaN NaN NaN NaN 5200.59610013806 -4819.99519984809 NaN 1641858888.139 NaN NaN NaN NaN 7.80517 NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.101437 NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.79784 NaN NaN -0.47473 1641858916.162 NaN NaN 0.0820305 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.426 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641858950.5 1.2426 NaN NaN NaN NaN -0.0916294 0.0705337 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859010.512 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 25.0704 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859070.523 2.50704 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859100.529 NaN NaN 0.0680678 NaN NaN NaN NaN NaN 
-0.522457 NaN 0.125885 NaN NaN NaN NaN NaN NaN NaN 15.0002 -0.534474 NaN NaN 0.147637 NaN NaN NaN NaN NaN NaN NaN NaN 1641859160.54 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 38.7412 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859190.544 3.87412 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 6.18999 NaN NaN NaN NaN NaN 0.119137 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859220.55 NaN NaN 0.0820305 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 52.9361 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859310.568 5.29361 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.78053 NaN NaN -0.319395 1641859340.574 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 64.9472 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859430.591 6.49472 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859460.597 NaN NaN 0.0663225 NaN NaN NaN NaN 0 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -321.018 NaN NaN NaN NaN NaN NaN 5200.63521454959 -4820.09626659032 NaN 1641859490.603 NaN NaN NaN NaN 7.66369 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.104894 NaN NaN 77.4824 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859550.615 7.74824 NaN NaN NaN NaN NaN NaN NaN 
-0.440735 NaN 0.116618 NaN NaN NaN NaN NaN NaN NaN 15.0402 -0.532856 NaN NaN 0.0868453 NaN NaN NaN NaN NaN NaN NaN NaN 1641859580.621 NaN NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN 6.19039 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859640.632 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 90.7601 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859670.638 9.07601 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.52222 NaN NaN -0.307178 1641859760.655 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 103.776 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859790.662 10.3776 NaN 0.0680678 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.10061 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641859880.679 NaN NaN NaN NaN NaN NaN NaN NaN 
