dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-73
the8x3_filename: 00450073
filename_extension: sbd
filename_label: sunfish-2021-349-0-73-sbd(00450073)
mission_name: regm20.mi
fileopen_time: Tue_Jan_11_09:55:44_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-73
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN 0.4538 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0950694 0.109846 NaN NaN 6.26573 NaN NaN 0.441568 1641894972.197 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.030035 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895004.076 0.0030035 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0836652 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895076.123 NaN NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.197 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895110.55 1.2197 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895170.562 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895200.568 NaN NaN NaN NaN NaN NaN NaN 0 
-0.584824 -330 0.132031 NaN NaN NaN NaN NaN NaN NaN 15.0239 -0.557132 23.512 -322.808 0.18527 NaN NaN NaN NaN NaN 5206.66986815237 -4827.06072197385 NaN 1641895230.574 2.3512 NaN NaN 0 7.69873 NaN NaN NaN 
NaN NaN NaN 6.22183 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895260.581 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895290.586 NaN NaN 0.0715585 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895320.592 NaN NaN NaN NaN NaN -0.0950694 0.109846 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 40.0258 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895350.598 4.00258 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.140175 NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.89572 NaN NaN -0.298451 1641895380.604 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 57.9594 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895470.622 5.79594 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895500.627 NaN NaN 0.0680678 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 69.5366 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895590.645 6.95366 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895620.651 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.584824 NaN 0.0941936 NaN NaN NaN NaN NaN NaN NaN 15.0597 -0.557132 NaN NaN 0.0723711 NaN NaN NaN NaN NaN NaN NaN NaN 1641895650.657 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 6.22218 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895680.663 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.111902 NaN NaN 82.5991 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895710.668 8.25991 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895740.674 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.73166 NaN NaN -0.294961 1641895800.685 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 94.8315 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895830.691 9.48315 NaN NaN NaN NaN NaN NaN 0 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -323.601 NaN NaN NaN NaN NaN NaN 5206.75157154001 -4827.16635000554 NaN 1641895860.697 NaN NaN 0.0558505 NaN 7.67974 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 107.785 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895950.715 10.7785 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1641895980.72 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
