dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-014-1-9
the8x3_filename: 00490009
filename_extension: tbd
filename_label: sunfish-2022-014-1-9-tbd(00490009)
mission_name: regm20.mi
fileopen_time: Tue_Jan_18_01:44:13_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-014-1-9
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1642470283.651 0 0 0 NaN NaN NaN 
NaN NaN NaN 1642470310 NaN NaN NaN 3.2862 0.02914 4.7782 
NaN NaN NaN 1642470371 NaN NaN NaN 3.28672 0.53178 4.7795 
NaN NaN NaN 1642470432 NaN NaN NaN 3.28725 1.3373 4.7819 
0 0 0 1642470464 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642470493 NaN NaN NaN 3.2886 1.99967 4.7947 
NaN NaN NaN 1642470554 NaN NaN NaN 3.28896 2.64515 4.7936 
NaN NaN NaN 1642470615 NaN NaN NaN 3.28935 3.29933 4.7962 
NaN NaN NaN 1642470676 NaN NaN NaN 3.28965 4.04465 4.7968 
NaN NaN NaN 1642470737 NaN NaN NaN 3.28992 4.77537 4.7954 
NaN NaN NaN 1642470798 NaN NaN NaN 3.29027 5.39549 4.7975 
NaN NaN NaN 1642470859 NaN NaN NaN 3.29096 6.0254 4.8008 
NaN NaN NaN 1642470920 NaN NaN NaN 3.2911 6.72214 4.8002 
NaN NaN NaN 1642470981 NaN NaN NaN 3.29117 7.36173 4.7972 
NaN NaN NaN 1642471042 NaN NaN NaN 3.29106 7.99309 4.7934 
NaN NaN NaN 1642471103 NaN NaN NaN 3.29178 8.69139 4.7964 
NaN NaN NaN 1642471164 NaN NaN NaN 3.29243 9.44859 4.8025 
NaN NaN NaN 1642471225 NaN NaN NaN 3.2925 10.1192 4.799 
NaN NaN NaN 1642471286 NaN NaN NaN 3.29282 10.8675 4.8 
NaN NaN NaN 1642471347 NaN NaN NaN 3.29292 11.6339 4.7966 
NaN NaN NaN 1642471408 NaN NaN NaN 3.29402 12.2803 4.806 
NaN NaN NaN 1642471469 NaN NaN NaN 3.29528 12.9715 4.8124 
NaN NaN NaN 1642471530 NaN NaN NaN 3.2976 13.6182 4.8289 
