dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-018-0-0
the8x3_filename: 00500000
filename_extension: sbd
filename_label: sunfish-2022-018-0-0-sbd(00500000)
mission_name: regm20.mi
fileopen_time: Wed_Jan_19_21:20:55_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-018-0-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627339.091 -0.00682471 NaN 0.0977384 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.1881 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627457.218 1.31881 NaN 0.0715585 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 0 -0.102411 0.124337 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627547.234 NaN 1.86667 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.7064 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627577.24 2.67064 NaN 0.0645772 NaN NaN NaN NaN NaN 
-0.442961 NaN 0.0757848 0.106438 -0.3491 NaN NaN NaN NaN NaN 14.5444 -0.406618 NaN NaN 0.0897401 NaN NaN NaN NaN 6.11563 NaN NaN -0.363028 1642627667.256 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 41.9719 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627697.262 4.19719 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 57.3466 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627817.285 5.73466 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -321.97 NaN NaN NaN NaN NaN NaN 5413.80620697599 -5003.97938325958 NaN 1642627847.291 NaN NaN NaN 1 7.77701 -0.0595916 0.0598304 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.129348 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627877.296 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.4857 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642627937.308 7.34857 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 85.1041 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628027.326 8.51041 NaN 0.0610865 NaN NaN NaN NaN NaN 
-0.442961 NaN 0.0495977 0.10676 -0.3491 NaN NaN NaN NaN NaN 14.7964 -0.406618 NaN NaN 0.055002 NaN NaN NaN NaN 6.2221 NaN NaN -0.357792 1642628087.337 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 99.9328 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628147.349 9.99328 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.125436 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628207.361 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 114.63 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628267.373 11.463 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 129.328 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628387.396 12.9328 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -322.718 NaN NaN NaN NaN NaN NaN 5413.89030839995 -5004.06605447194 NaN 1642628477.414 NaN NaN NaN NaN 7.77046 NaN NaN 0 
-0.442961 NaN 0.160521 0.107162 -0.3491 NaN NaN NaN NaN NaN 14.8884 -0.408236 143.524 NaN 0.127373 NaN NaN NaN NaN 5.66359 NaN NaN -0.347321 1642628507.419 14.3524 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.117081 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628537.424 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 157.238 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628627.442 15.7239 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 171.936 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628747.465 17.1936 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 182.353 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628837.482 18.2353 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.118269 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628867.488 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.442961 NaN 0.168837 0.108094 -0.3491 NaN NaN NaN NaN NaN 14.9139 -0.408236 NaN NaN 0.211323 NaN NaN NaN NaN 5.80671 NaN NaN -0.340339 1642628927.5 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 195.544 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642628957.506 19.5544 NaN 0.0558505 NaN NaN NaN NaN NaN 
