dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-018-0-3
the8x3_filename: 00500003
filename_extension: sbd
filename_label: sunfish-2022-018-0-3-sbd(00500003)
mission_name: regm20.mi
fileopen_time: Thu_Jan_20_07:18:24_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-018-0-3
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.191634 -0.0341202 NaN NaN NaN 5418.95940017531 -4959.63119999556 NaN 1642663133.935 NaN NaN NaN NaN NaN 0.191634 -0.0341202 NaN 
NaN NaN NaN 0.0264042 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663142 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.199243 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663182.124 0.0199243 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.122622 NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.20108 NaN NaN -0.521853 1642663246.175 NaN NaN 0.0436332 NaN NaN NaN NaN NaN 
-0.479743 NaN 0.209331 NaN NaN NaN NaN NaN NaN NaN 14.6663 -0.426039 12.7543 NaN 0.246062 NaN NaN NaN NaN NaN NaN NaN NaN 1642663284.878 1.27543 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663344.89 NaN NaN 0.0488692 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 25.8552 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663404.902 2.58552 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663434.908 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 36.9255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663524.925 3.69255 NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN 0.0264749 NaN NaN NaN NaN NaN 0.100696 NaN NaN NaN -323.669 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663554.931 NaN NaN 0.0523599 NaN 7.80386 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 49.3932 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663644.949 4.93932 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.85907 NaN NaN -0.310669 1642663674.955 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.547791 NaN 0.110419 NaN NaN NaN NaN NaN NaN NaN 14.7561 -0.561988 NaN NaN 0.0752659 NaN NaN NaN NaN NaN NaN NaN NaN 1642663704.96 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5418.98445467036 -4959.66813439927 NaN 1642663734.966 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 61.3806 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663764.972 6.13806 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663794.979 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.102976 NaN NaN 73.892 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663884.996 7.3892 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663915.002 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.0270619 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642663975.013 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.1239 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642664005.019 8.71239 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642664035.025 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 97.1243 NaN NaN NaN NaN NaN NaN 5.81195 NaN NaN -0.289725 1642664095.037 9.71243 NaN NaN NaN NaN NaN NaN NaN 
-0.547791 NaN 0.132072 NaN NaN NaN NaN NaN NaN NaN 14.86 -0.560369 NaN NaN 0.165006 NaN NaN NaN NaN NaN NaN NaN NaN 1642664125.041 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642664155.047 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -324.259 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642664185.053 NaN NaN NaN NaN 7.80976 NaN NaN 0 
