dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-018-0-3
the8x3_filename: 00500003
filename_extension: tbd
filename_label: sunfish-2022-018-0-3-tbd(00500003)
mission_name: regm20.mi
fileopen_time: Thu_Jan_20_07:18:19_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-018-0-3
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1642663152.379 33.332 357.154 87.435 NaN NaN NaN 
NaN NaN NaN 1642663155.38 NaN NaN NaN 3.22668 0.00308 4.0916 
NaN NaN NaN 1642663216.38 NaN NaN NaN 3.2265 0.32396 4.0934 
NaN NaN NaN 1642663273.38 33.337 357.204 87.419 NaN NaN NaN 
NaN NaN NaN 1642663277.38 NaN NaN NaN 3.21959 1.22069 4.0091 
NaN NaN NaN 1642663338.38 NaN NaN NaN 3.21848 1.96308 3.9888 
NaN NaN NaN 1642663394.38 33.343 359.106 87.584 NaN NaN NaN 
NaN NaN NaN 1642663399.38 NaN NaN NaN 3.21112 2.54889 3.8992 
NaN NaN NaN 1642663460.38 NaN NaN NaN 3.20257 3.09675 3.8024 
NaN NaN NaN 1642663515.38 33.325 362.344 87.982 NaN NaN NaN 
NaN NaN NaN 1642663521.38 NaN NaN NaN 3.19588 3.66299 3.7315 
NaN NaN NaN 1642663582.383 NaN NaN NaN 3.19433 4.3223 3.7108 
NaN NaN NaN 1642663636.383 33.306 363.694 88.196 NaN NaN NaN 
NaN NaN NaN 1642663643.383 NaN NaN NaN 3.19317 4.93774 3.6957 
NaN NaN NaN 1642663704.383 NaN NaN NaN 3.19275 5.57318 3.6871 
NaN NaN NaN 1642663757.383 33.31 363.915 88.197 NaN NaN NaN 
NaN NaN NaN 1642663765.383 NaN NaN NaN 3.19153 6.18017 3.6724 
NaN NaN NaN 1642663826.383 NaN NaN NaN 3.19036 6.81816 3.6567 
NaN NaN NaN 1642663878.383 33.31 364.43 88.249 NaN NaN NaN 
NaN NaN NaN 1642663887.383 NaN NaN NaN 3.18873 7.47358 3.636 
NaN NaN NaN 1642663948.383 NaN NaN NaN 3.18511 8.14161 3.5917 
NaN NaN NaN 1642663999.383 33.323 365.262 88.277 NaN NaN NaN 
