dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-018-0-7
the8x3_filename: 00500007
filename_extension: sbd
filename_label: sunfish-2022-018-0-7-sbd(00500007)
mission_name: regm20.mi
fileopen_time: Fri_Jan_21_03:17:35_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-018-0-7
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
0.9 70 0 NaN NaN NaN NaN NaN NaN NaN 14.8727 0.925356 0.177408 70.8811 0.00868453 NaN NaN NaN NaN NaN NaN NaN NaN 1642735050.453 0.0177408 NaN NaN NaN 9.64407 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.109834 -0.0578261 NaN NaN NaN NaN NaN NaN 1642735085.731 NaN NaN NaN NaN NaN 0.109834 -0.0578261 NaN 
NaN NaN NaN 3.62685 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735095 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5417.77050017498 -4953.52659999498 NaN 1642735107.033 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.941629 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735147.117 0.0941629 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0957163 NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.11912 NaN NaN -0.497419 1642735199.154 NaN NaN 0.0436332 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.6015 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735237.494 1.26015 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735297.506 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.4011 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735357.518 2.64011 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735387.524 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
-0.507595 NaN -0.0806106 NaN NaN NaN NaN NaN NaN NaN 14.8474 -0.519908 39.4802 NaN -0.121583 NaN NaN NaN NaN NaN NaN NaN NaN 1642735477.541 3.94802 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.62626 NaN NaN NaN NaN NaN 0.111358 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735507.547 NaN NaN 0.0506145 NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 52.1444 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735597.565 5.21444 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.24282 NaN NaN -0.324631 1642735627.571 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -322.015 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735657.577 NaN NaN NaN NaN 7.78749 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 64.634 NaN NaN NaN NaN NaN NaN NaN 5417.72326823045 -4953.53778359703 NaN 1642735717.588 6.4634 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735747.594 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.108439 NaN NaN 77.7786 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735837.612 7.77786 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735867.618 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
-0.507595 NaN 0.0962546 NaN NaN NaN NaN NaN NaN NaN 14.8752 -0.519908 NaN NaN 0.0897401 NaN NaN NaN NaN NaN NaN NaN NaN 1642735897.624 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.62791 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735927.63 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 91.3162 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735957.636 9.13162 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642735987.642 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 101.098 NaN NaN NaN NaN NaN NaN 3.43132 NaN NaN -0.312414 1642736047.653 10.1098 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642736107.664 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
