dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-018-0-7
the8x3_filename: 00500007
filename_extension: tbd
filename_label: sunfish-2022-018-0-7-tbd(00500007)
mission_name: regm20.mi
fileopen_time: Fri_Jan_21_03:17:30_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-018-0-7
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1642735105 33.198 358.804 88.159 NaN NaN NaN 
NaN NaN NaN 1642735109 NaN NaN NaN 3.23677 0.01851 4.2291 
NaN NaN NaN 1642735170 NaN NaN NaN 3.23922 0.35388 4.2505 
NaN NaN NaN 1642735226 33.192 358.267 88.128 NaN NaN NaN 
NaN NaN NaN 1642735231 NaN NaN NaN 3.2396 1.23195 4.2559 
NaN NaN NaN 1642735292 NaN NaN NaN 3.23994 1.90384 4.2564 
NaN NaN NaN 1642735347 33.193 358.098 88.107 NaN NaN NaN 
NaN NaN NaN 1642735353 NaN NaN NaN 3.23974 2.5709 4.2521 
NaN NaN NaN 1642735414 NaN NaN NaN 3.24051 3.27682 4.2567 
NaN NaN NaN 1642735468 33.196 357.812 88.065 NaN NaN NaN 
NaN NaN NaN 1642735475 NaN NaN NaN 3.24186 3.93714 4.2651 
NaN NaN NaN 1642735536 NaN NaN NaN 3.24275 4.57887 4.272 
NaN NaN NaN 1642735589 33.21 357.359 87.961 NaN NaN NaN 
NaN NaN NaN 1642735597 NaN NaN NaN 3.24276 5.23898 4.2698 
NaN NaN NaN 1642735658 NaN NaN NaN 3.24309 5.89773 4.2691 
NaN NaN NaN 1642735710 33.225 356.902 87.856 NaN NaN NaN 
NaN NaN NaN 1642735719 NaN NaN NaN 3.24345 6.51324 4.2704 
NaN NaN NaN 1642735780 NaN NaN NaN 3.24627 7.15723 4.2917 
NaN NaN NaN 1642735831 33.279 354.831 87.419 NaN NaN NaN 
NaN NaN NaN 1642735841 NaN NaN NaN 3.24853 7.8708 4.3035 
NaN NaN NaN 1642735902 NaN NaN NaN 3.24651 8.54745 4.2904 
NaN NaN NaN 1642735952 33.334 353.156 87.023 NaN NaN NaN 
NaN NaN NaN 1642735963 NaN NaN NaN 3.24753 9.23542 4.2783 
