dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-110
the8x3_filename: 00510110
filename_extension: tbd
filename_label: sunfish-2022-020-0-110-tbd(00510110)
mission_name: regm20.mi
fileopen_time: Fri_Feb_11_20:39:48_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-110
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644612006.446 33.248 365.057 88.571 NaN NaN NaN 
NaN NaN NaN 1644612007.446 NaN NaN NaN 3.19917 0.00442 3.7475 
NaN NaN NaN 1644612069.014 NaN NaN NaN 3.19822 0.00793 3.7354 
NaN NaN NaN 1644612128.014 33.243 364.765 88.566 NaN NaN NaN 
NaN NaN NaN 1644612130.014 NaN NaN NaN 3.20072 0.80547 3.7519 
0.0001812 0.9944 0.3358 1644612187.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644612191.014 NaN NaN NaN 3.20141 1.58309 3.758 
NaN NaN NaN 1644612249.014 33.249 364.467 88.51 NaN NaN NaN 
NaN NaN NaN 1644612252.014 NaN NaN NaN 3.2019 2.34434 3.7619 
NaN NaN NaN 1644612313.014 NaN NaN NaN 3.20228 3.00403 3.7628 
NaN NaN NaN 1644612370.014 33.258 364.175 88.444 NaN NaN NaN 
NaN NaN NaN 1644612374.014 NaN NaN NaN 3.20252 3.68405 3.7616 
NaN NaN NaN 1644612435.014 NaN NaN NaN 3.20255 4.31138 3.7579 
0.000173952 0.9944 0.3285 1644612488.015 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644612491.015 33.27 363.815 88.359 NaN NaN NaN 
NaN NaN NaN 1644612496.015 NaN NaN NaN 3.20318 4.92257 3.7622 
NaN NaN NaN 1644612557.015 NaN NaN NaN 3.20292 5.52944 3.7567 
NaN NaN NaN 1644612612.015 33.281 363.537 88.282 NaN NaN NaN 
NaN NaN NaN 1644612618.015 NaN NaN NaN 3.20304 6.12701 3.7551 
NaN NaN NaN 1644612679.015 NaN NaN NaN 3.20321 6.74408 3.7534 
NaN NaN NaN 1644612733.015 33.284 363.536 88.272 NaN NaN NaN 
NaN NaN NaN 1644612740.015 NaN NaN NaN 3.20358 7.41038 3.7533 
