dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-114
the8x3_filename: 00510114
filename_extension: tbd
filename_label: sunfish-2022-020-0-114-tbd(00510114)
mission_name: regm20.mi
fileopen_time: Sat_Feb_12_17:57:04_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-114
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644688652.264 NaN NaN NaN 3.19242 0.01793 3.6442 
NaN NaN NaN 1644688714.016 33.328 364.218 88.153 3.19307 0.11499 3.6471 
NaN NaN NaN 1644688775.016 NaN NaN NaN 3.19482 0.67581 3.668 
0.000177576 0.9944 0.2701 1644688779.016 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644688835.016 33.327 363.607 88.098 NaN NaN NaN 
NaN NaN NaN 1644688836.016 NaN NaN NaN 3.19555 1.33335 3.6691 
NaN NaN NaN 1644688897.016 NaN NaN NaN 3.196 1.98313 3.6719 
NaN NaN NaN 1644688956.016 33.334 363.366 88.043 NaN NaN NaN 
NaN NaN NaN 1644688958.016 NaN NaN NaN 3.19564 2.79107 3.6659 
NaN NaN NaN 1644689019.016 NaN NaN NaN 3.19674 3.57483 3.6729 
NaN NaN NaN 1644689077.016 33.34 363.162 87.999 NaN NaN NaN 
0.000177576 0.9944 0.3358 1644689080.016 NaN NaN NaN 3.19716 4.33099 3.6727 
NaN NaN NaN 1644689141.016 NaN NaN NaN 3.19752 5.10297 3.6738 
NaN NaN NaN 1644689198.016 33.343 363.022 87.972 NaN NaN NaN 
NaN NaN NaN 1644689202.016 NaN NaN NaN 3.19753 5.79703 3.6696 
NaN NaN NaN 1644689263.016 NaN NaN NaN 3.19407 6.46317 3.6308 
NaN NaN NaN 1644689319.016 33.419 362.546 87.608 NaN NaN NaN 
NaN NaN NaN 1644689324.016 NaN NaN NaN 3.18851 7.02193 3.549 
0.000175764 0.9944 0.292 1644689381.016 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644689385.016 NaN NaN NaN 3.18831 7.56857 3.5434 
NaN NaN NaN 1644689440.016 33.467 361.632 87.318 NaN NaN NaN 
NaN NaN NaN 1644689446.016 NaN NaN NaN 3.18717 8.1659 3.526 
