dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-117
the8x3_filename: 00510117
filename_extension: tbd
filename_label: sunfish-2022-020-0-117-tbd(00510117)
mission_name: regm20.mi
fileopen_time: Sun_Feb_13_15:08:37_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-117
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644764935.536 33.331 364.89 88.208 3.18903 0.00612 3.6066 
NaN NaN NaN 1644764996.008 NaN NaN NaN 3.18898 0.00634 3.6059 
NaN NaN NaN 1644765056.008 33.325 364.525 88.196 NaN NaN NaN 
NaN NaN NaN 1644765057.008 NaN NaN NaN 3.18944 0.3257 3.6096 
0.000183012 0.9944 0.2701 1644765115.008 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644765118.008 NaN NaN NaN 3.19066 0.99458 3.6186 
NaN NaN NaN 1644765177.008 33.333 364.168 88.129 NaN NaN NaN 
NaN NaN NaN 1644765179.008 NaN NaN NaN 3.19098 1.6455 3.6234 
NaN NaN NaN 1644765240.008 NaN NaN NaN 3.19215 2.32493 3.6286 
NaN NaN NaN 1644765298.008 33.342 363.834 88.057 NaN NaN NaN 
NaN NaN NaN 1644765301.008 NaN NaN NaN 3.19213 3.03005 3.6247 
NaN NaN NaN 1644765362.008 NaN NaN NaN 3.19266 3.74589 3.6262 
0.00017214 0.9944 0.3431 1644765416.008 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644765419.008 33.348 363.675 88.016 NaN NaN NaN 
NaN NaN NaN 1644765423.008 NaN NaN NaN 3.19322 4.47169 3.6266 
NaN NaN NaN 1644765484.008 NaN NaN NaN 3.19251 5.17251 3.6197 
NaN NaN NaN 1644765540.008 33.364 363.357 87.918 NaN NaN NaN 
NaN NaN NaN 1644765545.008 NaN NaN NaN 3.19316 5.92496 3.6185 
NaN NaN NaN 1644765606.008 NaN NaN NaN 3.19363 6.65849 3.6185 
NaN NaN NaN 1644765661.009 33.377 362.999 87.828 NaN NaN NaN 
NaN NaN NaN 1644765667.009 NaN NaN NaN 3.19386 7.39825 3.6191 
0.00017214 0.9944 0.3285 1644765717.009 NaN NaN NaN NaN NaN NaN 
