dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-121
the8x3_filename: 00510121
filename_extension: tbd
filename_label: sunfish-2022-020-0-121-tbd(00510121)
mission_name: regm20.mi
fileopen_time: Mon_Feb_14_14:14:39_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-121
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644848090.469 33.496 367.911 87.803 NaN NaN NaN 
NaN NaN NaN 1644848134 NaN NaN NaN 3.17743 0.03499 3.471 
NaN NaN NaN 1644848195 NaN NaN NaN 3.17806 0.19088 3.4748 
NaN NaN NaN 1644848211 33.381 364.863 87.994 NaN NaN NaN 
NaN NaN NaN 1644848256 NaN NaN NaN 3.17824 0.9751 3.4686 
0.000183012 0.9944 0.1971 1644848271 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644848317 NaN NaN NaN 3.17854 1.80106 3.4657 
NaN NaN NaN 1644848332 33.408 364.31 87.828 NaN NaN NaN 
NaN NaN NaN 1644848378 NaN NaN NaN 3.17977 2.41141 3.4758 
NaN NaN NaN 1644848439 NaN NaN NaN 3.18115 2.99909 3.4875 
NaN NaN NaN 1644848453 33.415 363.967 87.763 NaN NaN NaN 
NaN NaN NaN 1644848500 NaN NaN NaN 3.17956 3.608 3.4677 
NaN NaN NaN 1644848561 NaN NaN NaN 3.17972 4.21725 3.468 
0.000175764 0.9944 0.3358 1644848572 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644848574 33.425 363.935 87.717 NaN NaN NaN 
NaN NaN NaN 1644848622 NaN NaN NaN 3.17978 4.86438 3.4669 
NaN NaN NaN 1644848683 NaN NaN NaN 3.18083 5.48385 3.4738 
NaN NaN NaN 1644848695 33.427 363.844 87.698 NaN NaN NaN 
NaN NaN NaN 1644848744 NaN NaN NaN 3.18169 5.98203 3.4815 
NaN NaN NaN 1644848805 NaN NaN NaN 3.18123 6.5814 3.4739 
NaN NaN NaN 1644848816 33.434 363.649 87.651 NaN NaN NaN 
NaN NaN NaN 1644848866 NaN NaN NaN 3.18165 7.21604 3.4735 
0.000173952 0.9944 0.292 1644848873 NaN NaN NaN NaN NaN NaN 
