dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-131
the8x3_filename: 00510131
filename_extension: tbd
filename_label: sunfish-2022-020-0-131-tbd(00510131)
mission_name: regm20.mi
fileopen_time: Thu_Feb_17_00:23:20_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-131
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000904188 1.1752 0.292 1645057418.052 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645057461.052 NaN NaN NaN 3.17198 0.04016 3.4509 
NaN NaN NaN 1645057480.052 33.453 363.724 87.582 NaN NaN NaN 
NaN NaN NaN 1645057522.052 NaN NaN NaN 3.17341 0.37173 3.4682 
NaN NaN NaN 1645057583.052 NaN NaN NaN 3.17709 1.35068 3.4683 
NaN NaN NaN 1645057601.052 33.471 362.582 87.395 NaN NaN NaN 
NaN NaN NaN 1645057644.052 NaN NaN NaN 3.17955 2.29825 3.4801 
NaN NaN NaN 1645057705.052 NaN NaN NaN 3.18026 2.93725 3.4803 
0.0001812 0.9944 0.2847 1645057719.052 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645057722.052 33.482 362.084 87.3 NaN NaN NaN 
NaN NaN NaN 1645057766.052 NaN NaN NaN 3.18083 3.5935 3.4819 
NaN NaN NaN 1645057827.052 NaN NaN NaN 3.18144 4.52496 3.484 
NaN NaN NaN 1645057843.052 33.491 361.737 87.229 NaN NaN NaN 
NaN NaN NaN 1645057888.052 NaN NaN NaN 3.18227 5.36123 3.487 
NaN NaN NaN 1645057949.052 NaN NaN NaN 3.18231 6.01007 3.4846 
NaN NaN NaN 1645057964.052 33.501 361.517 87.163 NaN NaN NaN 
NaN NaN NaN 1645058010.052 NaN NaN NaN 3.18209 6.55799 3.4766 
0.0001812 0.9944 0.2774 1645058020.052 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645058071.052 NaN NaN NaN 3.18223 7.18024 3.4756 
NaN NaN NaN 1645058085.052 33.523 361.029 87.027 NaN NaN NaN 
NaN NaN NaN 1645058132.052 NaN NaN NaN 3.18289 7.83177 3.4795 
NaN NaN NaN 1645058193.052 NaN NaN NaN 3.18345 8.51916 3.4831 
