dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-151
the8x3_filename: 00510151
filename_extension: tbd
filename_label: sunfish-2022-020-0-151-tbd(00510151)
mission_name: regm20.mi
fileopen_time: Wed_Feb_23_05:36:17_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-151
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1645594634.002 NaN NaN NaN 3.14849 0.07735 3.2061 
NaN NaN NaN 1645594687.002 33.537 364.815 87.336 NaN NaN NaN 
NaN NaN NaN 1645594695.002 NaN NaN NaN 3.15611 0.71914 3.2309 
NaN NaN NaN 1645594756.002 NaN NaN NaN 3.15968 0.99693 3.241 
0.000364212 1.0848 0.2628 1645594803.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645594808.002 33.558 363.783 87.146 NaN NaN NaN 
NaN NaN NaN 1645594817.002 NaN NaN NaN 3.16053 1.40411 3.2392 
NaN NaN NaN 1645594878.002 NaN NaN NaN 3.16147 2.12728 3.2383 
NaN NaN NaN 1645594929.002 33.57 363.462 87.065 NaN NaN NaN 
NaN NaN NaN 1645594939.002 NaN NaN NaN 3.16326 2.49588 3.2453 
NaN NaN NaN 1645595000.002 NaN NaN NaN 3.16398 2.96616 3.2484 
NaN NaN NaN 1645595050.002 33.576 363.168 87.013 NaN NaN NaN 
NaN NaN NaN 1645595061.002 NaN NaN NaN 3.16392 3.42878 3.2437 
0.000179388 1.0848 0.2409 1645595104.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645595122.002 NaN NaN NaN 3.16511 3.9201 3.2513 
NaN NaN NaN 1645595171.002 33.585 362.691 86.928 NaN NaN NaN 
NaN NaN NaN 1645595183.002 NaN NaN NaN 3.1656 4.38841 3.2533 
NaN NaN NaN 1645595244.002 NaN NaN NaN 3.1671 4.83781 3.2715 
NaN NaN NaN 1645595292.002 33.6 361.948 86.793 NaN NaN NaN 
NaN NaN NaN 1645595305.002 NaN NaN NaN 3.16745 5.15922 3.279 
NaN NaN NaN 1645595366.002 NaN NaN NaN 3.16758 5.49874 3.2601 
0.000170328 0.9944 0.2482 1645595405.002 NaN NaN NaN NaN NaN NaN 
