dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-187
the8x3_filename: 00510187
filename_extension: tbd
filename_label: sunfish-2022-020-0-187-tbd(00510187)
mission_name: regm20.mi
fileopen_time: Sun_Mar__6_08:24:06_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-187
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1646555105.028 NaN NaN NaN 3.12973 0.01458 2.8847 
NaN NaN NaN 1646555107.028 33.697 365.836 86.764 NaN NaN NaN 
NaN NaN NaN 1646555166.028 NaN NaN NaN 3.13244 0.30469 2.9146 
0.000159456 1.0848 0.2482 1646555223.028 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646555227.028 NaN NaN NaN 3.13423 0.98199 2.9306 
NaN NaN NaN 1646555228.028 33.689 365.138 86.731 NaN NaN NaN 
NaN NaN NaN 1646555288.028 NaN NaN NaN 3.13577 1.54154 2.9389 
NaN NaN NaN 1646555349.028 33.683 362.733 86.526 3.15446 2.08316 3.1369 
NaN NaN NaN 1646555410.028 NaN NaN NaN 3.16278 2.62934 3.2086 
NaN NaN NaN 1646555470.028 33.741 360.205 86.042 NaN NaN NaN 
NaN NaN NaN 1646555471.028 NaN NaN NaN 3.15596 3.18384 3.1286 
0.000164892 0.9944 0.1387 1646555524.028 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646555532.028 NaN NaN NaN 3.15668 3.74124 3.1317 
NaN NaN NaN 1646555591.028 33.712 361.025 86.243 NaN NaN NaN 
NaN NaN NaN 1646555593.028 NaN NaN NaN 3.15775 4.29388 3.1389 
NaN NaN NaN 1646555654.028 NaN NaN NaN 3.15851 4.84338 3.1442 
NaN NaN NaN 1646555712.028 33.707 360.846 86.244 NaN NaN NaN 
NaN NaN NaN 1646555715.028 NaN NaN NaN 3.16292 5.36655 3.1855 
NaN NaN NaN 1646555776.028 NaN NaN NaN 3.16272 5.8819 3.1807 
0.000155832 0.9944 0.1314 1646555825.028 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646555833.028 33.721 359.991 86.106 NaN NaN NaN 
NaN NaN NaN 1646555837.028 NaN NaN NaN 3.16283 6.382 3.1786 
