dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-189
the8x3_filename: 00510189
filename_extension: tbd
filename_label: sunfish-2022-020-0-189-tbd(00510189)
mission_name: regm20.mi
fileopen_time: Mon_Mar__7_07:33:32_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-189
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1646638469 NaN NaN NaN 3.14687 0.02494 3.0913 
NaN NaN NaN 1646638506 33.655 363.574 86.721 NaN NaN NaN 
NaN NaN NaN 1646638530 NaN NaN NaN 3.14765 0.35128 3.0968 
NaN NaN NaN 1646638591 NaN NaN NaN 3.14888 0.97942 3.1118 
0.000168516 0.9944 0.2336 1646638622 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646638627 33.644 363.465 86.76 NaN NaN NaN 
NaN NaN NaN 1646638652 NaN NaN NaN 3.14894 1.51593 3.1084 
NaN NaN NaN 1646638713 NaN NaN NaN 3.14931 2.07255 3.1108 
NaN NaN NaN 1646638748 33.652 363.198 86.7 NaN NaN NaN 
NaN NaN NaN 1646638774 NaN NaN NaN 3.15006 2.63812 3.1133 
NaN NaN NaN 1646638835 NaN NaN NaN 3.15019 3.1367 3.1134 
NaN NaN NaN 1646638869 33.659 362.915 86.643 NaN NaN NaN 
NaN NaN NaN 1646638896 NaN NaN NaN 3.15007 3.63906 3.1093 
0.000159456 0.9944 0.2336 1646638923 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646638957 NaN NaN NaN 3.15046 4.26105 3.1109 
NaN NaN NaN 1646638990 33.665 362.76 86.602 NaN NaN NaN 
NaN NaN NaN 1646639018 NaN NaN NaN 3.1506 4.89463 3.108 
NaN NaN NaN 1646639079 NaN NaN NaN 3.15146 5.45271 3.1167 
NaN NaN NaN 1646639111 33.667 362.606 86.579 NaN NaN NaN 
NaN NaN NaN 1646639140 NaN NaN NaN 3.1519 5.93472 3.1177 
NaN NaN NaN 1646639200 NaN NaN NaN 3.15206 6.44054 3.1162 
0.000159456 0.9944 0.2263 1646639224 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646639232 33.672 362.462 86.547 NaN NaN NaN 
