dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-198
the8x3_filename: 00510198
filename_extension: tbd
filename_label: sunfish-2022-020-0-198-tbd(00510198)
mission_name: regm20.mi
fileopen_time: Tue_Mar__8_06:32:01_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-198
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1646721121.5 33.66 365.521 86.889 NaN NaN NaN 
NaN NaN NaN 1646721178 NaN NaN NaN 3.13898 0.03647 2.9884 
NaN NaN NaN 1646721239 NaN NaN NaN 3.13945 0.0109 2.9927 
NaN NaN NaN 1646721242 33.664 365.132 86.837 NaN NaN NaN 
NaN NaN NaN 1646721300 NaN NaN NaN 3.14022 0.17212 3.002 
0.000210192 0.9944 0.2847 1646721359 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646721361 NaN NaN NaN 3.14142 0.9094 3.0119 
NaN NaN NaN 1646721363 33.656 364.804 86.836 NaN NaN NaN 
NaN NaN NaN 1646721422 NaN NaN NaN 3.14186 1.5664 3.0123 
NaN NaN NaN 1646721483 NaN NaN NaN 3.14252 2.20509 3.0161 
NaN NaN NaN 1646721484 33.66 364.518 86.794 NaN NaN NaN 
NaN NaN NaN 1646721544 NaN NaN NaN 3.14295 2.7318 3.0183 
NaN NaN NaN 1646721605 33.664 364.292 86.756 3.14288 3.34602 3.0147 
0.000168516 0.9944 0.2482 1646721660 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646721666 NaN NaN NaN 3.14285 3.94956 3.0105 
NaN NaN NaN 1646721726 33.67 364.263 86.727 NaN NaN NaN 
NaN NaN NaN 1646721727 NaN NaN NaN 3.1427 4.55216 3.0087 
NaN NaN NaN 1646721788 NaN NaN NaN 3.14299 5.16391 3.004 
NaN NaN NaN 1646721847 33.675 364.304 86.712 NaN NaN NaN 
NaN NaN NaN 1646721849 NaN NaN NaN 3.14286 5.75275 3.0021 
NaN NaN NaN 1646721910 NaN NaN NaN 3.14359 6.33862 3.0067 
0.000201132 0.9944 0.2628 1646721961 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646721968 33.68 364.095 86.668 NaN NaN NaN 
