dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-42
the8x3_filename: 00510042
filename_extension: tbd
filename_label: sunfish-2022-020-0-42-tbd(00510042)
mission_name: regm20.mi
fileopen_time: Sun_Jan_30_03:04:49_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-42
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643511917.592 NaN NaN NaN 3.2003 0.02895 3.7395 
NaN NaN NaN 1643511977.592 33.372 361.4 87.689 3.2019 0.04716 3.752 
NaN NaN NaN 1643512038.592 NaN NaN NaN 3.20194 0.57251 3.7451 
NaN NaN NaN 1643512098.592 33.368 360.95 87.662 NaN NaN NaN 
NaN NaN NaN 1643512099.592 NaN NaN NaN 3.20411 1.35942 3.7689 
0.000175764 0.9944 0.292 1643512157.592 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643512160.592 NaN NaN NaN 3.20435 2.06862 3.7733 
NaN NaN NaN 1643512219.592 33.379 360.147 87.536 NaN NaN NaN 
NaN NaN NaN 1643512221.592 NaN NaN NaN 3.20703 2.76494 3.7934 
NaN NaN NaN 1643512282.592 NaN NaN NaN 3.20669 3.44572 3.7846 
NaN NaN NaN 1643512340.592 33.394 359.96 87.455 NaN NaN NaN 
NaN NaN NaN 1643512343.592 NaN NaN NaN 3.20737 4.18108 3.7778 
NaN NaN NaN 1643512404.592 NaN NaN NaN 3.20761 4.91862 3.7561 
0.000177576 0.9944 0.2117 1643512458.592 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643512461.592 33.595 355.41 86.174 NaN NaN NaN 
NaN NaN NaN 1643512465.592 NaN NaN NaN 3.19802 5.68044 3.657 
NaN NaN NaN 1643512526.592 NaN NaN NaN 3.20536 6.4379 3.7136 
NaN NaN NaN 1643512582.592 33.668 353.167 85.654 NaN NaN NaN 
NaN NaN NaN 1643512587.592 NaN NaN NaN 3.20448 7.19803 3.6996 
NaN NaN NaN 1643512648.592 NaN NaN NaN 3.20245 7.96368 3.6733 
NaN NaN NaN 1643512703.592 33.702 353.333 85.533 NaN NaN NaN 
NaN NaN NaN 1643512709.592 NaN NaN NaN 3.19853 8.73445 3.6235 
