dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-47
the8x3_filename: 00510047
filename_extension: tbd
filename_label: sunfish-2022-020-0-47-tbd(00510047)
mission_name: regm20.mi
fileopen_time: Mon_Jan_31_00:14:55_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-47
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643588095.831 NaN NaN NaN 3.21087 0.00362 4.6183 
NaN NaN NaN 1643588156.011 NaN NaN NaN 3.19447 0.00963 4.6183 
NaN NaN NaN 1643588206.011 33.117 354.514 88.06 NaN NaN NaN 
NaN NaN NaN 1643588217.011 NaN NaN NaN 3.24108 0.74204 4.6237 
0.0073984 1.6272 0.2701 1643588269.011 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643588278.011 NaN NaN NaN 3.25293 1.21653 4.6266 
NaN NaN NaN 1643588327.011 33.123 354.306 88.013 NaN NaN NaN 
NaN NaN NaN 1643588339.011 NaN NaN NaN 3.25988 1.54695 4.6247 
NaN NaN NaN 1643588400.011 NaN NaN NaN 3.26635 2.1363 4.6269 
NaN NaN NaN 1643588448.011 33.132 353.97 87.94 NaN NaN NaN 
NaN NaN NaN 1643588461.011 NaN NaN NaN 3.27165 3.08572 4.6267 
NaN NaN NaN 1643588522.011 NaN NaN NaN 3.27462 3.84058 4.6282 
NaN NaN NaN 1643588569.011 33.146 353.528 87.838 NaN NaN NaN 
0.000251868 0.9944 0.2555 1643588570.011 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643588583.011 NaN NaN NaN 3.2761 4.30646 4.6273 
NaN NaN NaN 1643588644.011 NaN NaN NaN 3.27714 4.67744 4.6291 
NaN NaN NaN 1643588690.011 33.149 353.404 87.812 NaN NaN NaN 
NaN NaN NaN 1643588705.011 NaN NaN NaN 3.27798 5.30972 4.6301 
NaN NaN NaN 1643588766.011 NaN NaN NaN 3.27827 5.81401 4.6286 
NaN NaN NaN 1643588811.011 33.152 353.394 87.801 NaN NaN NaN 
NaN NaN NaN 1643588827.011 NaN NaN NaN 3.27874 6.37402 4.6289 
0.000179388 0.9944 0.2701 1643588871.011 NaN NaN NaN NaN NaN NaN 
