dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-53
the8x3_filename: 00510053
filename_extension: tbd
filename_label: sunfish-2022-020-0-53-tbd(00510053)
mission_name: regm20.mi
fileopen_time: Tue_Feb__1_07:58:45_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-53
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643702353.373 NaN NaN NaN 3.24018 0.01397 4.2302 
NaN NaN NaN 1643702413.014 33.244 357.051 87.789 NaN NaN NaN 
NaN NaN NaN 1643702414.014 NaN NaN NaN 3.24259 0.12113 4.2569 
0.000255492 1.0848 0.2628 1643702440.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643702475.014 NaN NaN NaN 3.24357 0.65922 4.2573 
NaN NaN NaN 1643702534.014 33.249 356.376 87.702 NaN NaN NaN 
NaN NaN NaN 1643702536.014 NaN NaN NaN 3.245 1.46419 4.2654 
NaN NaN NaN 1643702597.014 NaN NaN NaN 3.24516 2.09083 4.2682 
NaN NaN NaN 1643702655.014 33.259 355.995 87.621 NaN NaN NaN 
NaN NaN NaN 1643702658.014 NaN NaN NaN 3.24608 2.87132 4.2713 
NaN NaN NaN 1643702719.014 NaN NaN NaN 3.24673 3.73817 4.2739 
0.000175764 0.9944 0.2482 1643702741.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643702776.014 33.271 355.554 87.527 NaN NaN NaN 
NaN NaN NaN 1643702780.014 NaN NaN NaN 3.24663 4.50929 4.2706 
NaN NaN NaN 1643702841.014 NaN NaN NaN 3.24546 4.98513 4.2541 
NaN NaN NaN 1643702897.014 33.272 355.815 87.549 NaN NaN NaN 
NaN NaN NaN 1643702902.014 NaN NaN NaN 3.24538 5.43444 4.2511 
NaN NaN NaN 1643702963.014 NaN NaN NaN 3.24525 5.97545 4.253 
NaN NaN NaN 1643703018.014 33.273 355.857 87.549 NaN NaN NaN 
NaN NaN NaN 1643703024.014 NaN NaN NaN 3.24621 6.52343 4.2549 
0.000177576 0.9944 0.2628 1643703042.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643703085.014 NaN NaN NaN 3.24753 7.04558 4.2655 
