dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-61
the8x3_filename: 00510061
filename_extension: tbd
filename_label: sunfish-2022-020-0-61-tbd(00510061)
mission_name: regm20.mi
fileopen_time: Wed_Feb__2_15:59:07_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-61
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643817574.684 NaN NaN NaN 3.25406 0.04061 4.3632 
0.000240996 0.0904 0.1314 1643817580.684 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643817636.009 33.204 356.057 87.855 3.25437 0.05409 4.3669 
NaN NaN NaN 1643817697.009 NaN NaN NaN 3.2557 0.75506 4.3754 
NaN NaN NaN 1643817757.009 33.217 355.292 87.725 NaN NaN NaN 
NaN NaN NaN 1643817758.009 NaN NaN NaN 3.25662 1.48099 4.3812 
NaN NaN NaN 1643817819.009 NaN NaN NaN 3.25723 2.17196 4.3843 
NaN NaN NaN 1643817878.009 33.234 354.82 87.605 NaN NaN NaN 
NaN NaN NaN 1643817880.009 NaN NaN NaN 3.25766 2.81484 4.3854 
0.00017214 0.9944 0.2847 1643817882.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643817941.009 NaN NaN NaN 3.25748 3.41242 4.3824 
NaN NaN NaN 1643817999.009 33.254 354.394 87.479 NaN NaN NaN 
NaN NaN NaN 1643818002.009 NaN NaN NaN 3.25671 4.03461 4.3728 
NaN NaN NaN 1643818063.009 NaN NaN NaN 3.25678 4.63987 4.3687 
NaN NaN NaN 1643818120.009 33.263 354.254 87.428 NaN NaN NaN 
NaN NaN NaN 1643818124.009 NaN NaN NaN 3.25721 5.2787 4.3697 
0.000170328 1.0848 0.2774 1643818183.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643818185.009 NaN NaN NaN 3.25753 5.93166 4.3654 
NaN NaN NaN 1643818241.009 33.27 354.223 87.396 NaN NaN NaN 
NaN NaN NaN 1643818246.009 NaN NaN NaN 3.25657 6.5658 4.3585 
NaN NaN NaN 1643818306.009 NaN NaN NaN 3.25664 7.18594 4.3567 
NaN NaN NaN 1643818362.009 33.276 354.343 87.382 NaN NaN NaN 
