dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-67
the8x3_filename: 00510067
filename_extension: tbd
filename_label: sunfish-2022-020-0-67-tbd(00510067)
mission_name: regm20.mi
fileopen_time: Thu_Feb__3_22:52:44_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-67
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643928790.535 NaN NaN NaN 3.1383 0.015 3.2176 
NaN NaN NaN 1643928852.016 NaN NaN NaN 3.14695 0.51855 3.2218 
NaN NaN NaN 1643928871.016 33.355 370.193 88.621 NaN NaN NaN 
NaN NaN NaN 1643928913.016 NaN NaN NaN 3.15147 1.25151 3.2257 
NaN NaN NaN 1643928974.016 NaN NaN NaN 3.15367 1.84858 3.2269 
NaN NaN NaN 1643928992.016 33.372 369.498 88.48 NaN NaN NaN 
NaN NaN NaN 1643929035.016 NaN NaN NaN 3.15482 2.40197 3.2264 
0.000197508 0.9944 0.2555 1643929048.016 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643929096.016 NaN NaN NaN 3.15539 2.95209 3.2273 
NaN NaN NaN 1643929113.016 33.374 369.467 88.47 NaN NaN NaN 
NaN NaN NaN 1643929157.016 NaN NaN NaN 3.15566 3.68249 3.2236 
NaN NaN NaN 1643929218.016 NaN NaN NaN 3.1562 4.52387 3.2242 
NaN NaN NaN 1643929234.016 33.381 369.306 88.427 NaN NaN NaN 
NaN NaN NaN 1643929279.016 NaN NaN NaN 3.15682 5.36357 3.2263 
NaN NaN NaN 1643929340.016 NaN NaN NaN 3.15913 6.09769 3.2393 
0.000179388 0.9944 0.2555 1643929349.016 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643929355.016 33.398 368.586 88.285 NaN NaN NaN 
NaN NaN NaN 1643929401.016 NaN NaN NaN 3.15948 6.7766 3.2405 
NaN NaN NaN 1643929462.016 NaN NaN NaN 3.16114 7.40875 3.2478 
NaN NaN NaN 1643929476.016 33.43 367.594 88.054 NaN NaN NaN 
NaN NaN NaN 1643929523.016 NaN NaN NaN 3.16067 8.15238 3.2449 
NaN NaN NaN 1643929584.016 NaN NaN NaN 3.16353 8.95039 3.2537 
