dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-69
the8x3_filename: 00510069
filename_extension: tbd
filename_label: sunfish-2022-020-0-69-tbd(00510069)
mission_name: regm20.mi
fileopen_time: Fri_Feb__4_09:14:38_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-69
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000369648 1.0848 0.2628 1643966079.336 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643966099.336 NaN NaN NaN 3.1906 0.02931 3.6923 
NaN NaN NaN 1643966158.336 33.415 360.828 87.453 NaN NaN NaN 
NaN NaN NaN 1643966159.336 NaN NaN NaN 3.18922 0.10874 3.7104 
NaN NaN NaN 1643966220.336 NaN NaN NaN 3.19475 0.83082 3.7141 
NaN NaN NaN 1643966279.336 33.443 359.384 87.197 NaN NaN NaN 
NaN NaN NaN 1643966281.336 NaN NaN NaN 3.19968 1.55517 3.7306 
NaN NaN NaN 1643966342.336 NaN NaN NaN 3.20097 2.39647 3.7269 
0.000173952 0.9944 0.2701 1643966379.336 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643966400.336 33.447 359.167 87.157 NaN NaN NaN 
NaN NaN NaN 1643966403.336 NaN NaN NaN 3.20205 3.0865 3.7237 
NaN NaN NaN 1643966464.336 NaN NaN NaN 3.20448 3.67698 3.7449 
NaN NaN NaN 1643966521.336 33.473 358.196 86.954 NaN NaN NaN 
NaN NaN NaN 1643966525.336 NaN NaN NaN 3.20419 4.25542 3.7392 
NaN NaN NaN 1643966586.336 NaN NaN NaN 3.20778 4.94188 3.77 
NaN NaN NaN 1643966642.336 33.53 357.553 86.653 NaN NaN NaN 
NaN NaN NaN 1643966647.336 NaN NaN NaN 3.19261 5.63624 3.6092 
0.000184824 0.9944 0.2409 1643966680.336 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643966708.336 NaN NaN NaN 3.1934 6.34165 3.6145 
NaN NaN NaN 1643966763.336 33.51 359.619 86.939 NaN NaN NaN 
NaN NaN NaN 1643966769.336 NaN NaN NaN 3.18701 7.00377 3.5397 
NaN NaN NaN 1643966830.336 NaN NaN NaN 3.1706 7.57096 3.3685 
