dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-74
the8x3_filename: 00510074
filename_extension: tbd
filename_label: sunfish-2022-020-0-74-tbd(00510074)
mission_name: regm20.mi
fileopen_time: Sat_Feb__5_06:21:58_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-74
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644042119.369 NaN NaN NaN 3.21408 0.02324 3.8945 
NaN NaN NaN 1644042180.009 NaN NaN NaN 3.21465 0.03002 3.9041 
NaN NaN NaN 1644042230.009 33.277 361.088 88.058 NaN NaN NaN 
NaN NaN NaN 1644042241.009 NaN NaN NaN 3.21673 0.5178 3.922 
0.000179388 0.9944 0.3139 1644042281.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644042302.009 NaN NaN NaN 3.21751 1.34508 3.9252 
NaN NaN NaN 1644042351.009 33.281 360.747 88.006 NaN NaN NaN 
NaN NaN NaN 1644042363.009 NaN NaN NaN 3.21823 2.09572 3.928 
NaN NaN NaN 1644042424.009 NaN NaN NaN 3.21993 2.82141 3.9442 
NaN NaN NaN 1644042472.009 33.289 360.302 87.929 NaN NaN NaN 
NaN NaN NaN 1644042485.009 NaN NaN NaN 3.22005 3.50314 3.9413 
NaN NaN NaN 1644042546.009 NaN NaN NaN 3.22126 4.12665 3.949 
0.000175764 0.9944 0.2555 1644042582.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644042593.009 33.32 358.986 87.667 NaN NaN NaN 
NaN NaN NaN 1644042607.009 NaN NaN NaN 3.2317 4.7218 4.0135 
NaN NaN NaN 1644042668.009 NaN NaN NaN 3.21746 5.35279 3.851 
NaN NaN NaN 1644042714.009 33.796 348.748 84.701 NaN NaN NaN 
NaN NaN NaN 1644042729.009 NaN NaN NaN 3.20718 5.95863 3.7256 
NaN NaN NaN 1644042790.009 NaN NaN NaN 3.21851 6.529 3.8441 
NaN NaN NaN 1644042835.009 33.872 344.98 84.021 NaN NaN NaN 
NaN NaN NaN 1644042851.009 NaN NaN NaN 3.22258 7.1184 3.8755 
0.000179388 0.9944 0.1752 1644042883.009 NaN NaN NaN NaN NaN NaN 
