dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-78
the8x3_filename: 00510078
filename_extension: tbd
filename_label: sunfish-2022-020-0-78-tbd(00510078)
mission_name: regm20.mi
fileopen_time: Sun_Feb__6_03:15:56_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-78
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644117384.568 NaN NaN NaN 3.15044 0.00153 3.2221 
NaN NaN NaN 1644117443.568 33.56 364.293 87.186 3.15168 0.04639 3.2306 
NaN NaN NaN 1644117504.568 NaN NaN NaN 3.15459 0.37281 3.2378 
NaN NaN NaN 1644117564.568 33.563 363.745 87.121 NaN NaN NaN 
NaN NaN NaN 1644117565.568 NaN NaN NaN 3.15774 0.96695 3.2404 
0.000183012 1.0848 0.219 1644117623.568 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644117626.568 NaN NaN NaN 3.15954 1.41182 3.2442 
NaN NaN NaN 1644117685.568 33.557 363.876 87.161 NaN NaN NaN 
NaN NaN NaN 1644117687.568 NaN NaN NaN 3.15952 1.84766 3.2345 
NaN NaN NaN 1644117748.568 NaN NaN NaN 3.16003 2.24804 3.2334 
NaN NaN NaN 1644117806.568 33.563 363.682 87.117 NaN NaN NaN 
NaN NaN NaN 1644117809.568 NaN NaN NaN 3.1604 2.72246 3.2356 
NaN NaN NaN 1644117870.568 NaN NaN NaN 3.16107 3.23861 3.2384 
0.000175764 0.9944 0.1971 1644117924.568 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644117927.568 33.563 362.935 87.043 NaN NaN NaN 
NaN NaN NaN 1644117931.568 NaN NaN NaN 3.16842 3.75628 3.3103 
NaN NaN NaN 1644117992.568 NaN NaN NaN 3.16334 4.23212 3.2675 
NaN NaN NaN 1644118048.568 33.584 362.521 86.916 NaN NaN NaN 
NaN NaN NaN 1644118053.568 NaN NaN NaN 3.1656 4.73437 3.2738 
NaN NaN NaN 1644118114.568 NaN NaN NaN 3.16234 5.23842 3.2382 
NaN NaN NaN 1644118169.568 33.578 363.091 86.998 NaN NaN NaN 
NaN NaN NaN 1644118175.568 NaN NaN NaN 3.16388 5.76212 3.2496 
