dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-94
the8x3_filename: 00510094
filename_extension: sbd
filename_label: sunfish-2022-020-0-94-sbd(00510094)
mission_name: regm20.mi
fileopen_time: Tue_Feb__8_14:25:12_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-94
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0385319 -0.10671 NaN NaN NaN NaN NaN NaN 1644330342.075 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330370.092 -0.000272975 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.91538 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330462.156 0.591538 NaN NaN NaN NaN NaN NaN NaN 
-0.343499 NaN -0.308202 NaN NaN NaN NaN NaN NaN 0.103477 14.4374 -0.354828 NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1644330474.221 NaN NaN 0.0767945 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.599963 NaN NaN NaN NaN NaN NaN NaN NaN 17.97 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330572.462 1.797 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330632.473 NaN NaN NaN NaN NaN -0.0385319 -0.10671 NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 29.7407 NaN NaN NaN NaN NaN NaN 0.0366519 NaN NaN -0.354302 1644330692.485 2.97407 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5356.22021557625 -5019.58551631481 NaN 1644330722.491 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -296.541 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330752.497 NaN NaN NaN NaN 7.85888 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.108897 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330782.502 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.0182 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330812.508 4.30182 NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.418091 NaN 0.0882588 NaN NaN NaN NaN NaN NaN NaN 14.5925 -0.354828 NaN NaN 0.0723711 NaN NaN NaN NaN NaN NaN NaN NaN 1644330902.526 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 55.5096 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330932.532 5.55096 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.609013 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644330992.543 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 68.6997 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644331052.555 6.86997 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.106764 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.37001 NaN NaN -0.333358 1644331112.568 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 81.5187 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644331172.579 8.15187 NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 94.4249 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644331292.602 9.44249 NaN 0.0523599 NaN NaN NaN NaN NaN 
-0.418091 NaN 0.169161 NaN NaN NaN NaN NaN NaN NaN 14.7322 -0.354828 NaN NaN 0.121583 NaN NaN NaN NaN NaN NaN NaN NaN 1644331322.609 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5356.30574504173 -5019.6039243965 NaN 1644331352.615 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -297.108 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644331382.621 NaN NaN NaN NaN 7.84611 NaN NaN NaN 
NaN NaN NaN 0.617769 NaN NaN NaN NaN NaN 0.109216 NaN NaN 107.55 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644331412.626 10.755 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 121.242 NaN NaN NaN NaN NaN NaN 0.113446 NaN NaN -0.331613 1644331532.65 12.1242 NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 134.847 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1644331652.673 13.4847 NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.418091 NaN 0.0412231 NaN NaN NaN NaN NaN NaN 0.114407 14.777 -0.354828 NaN NaN 0.0434226 NaN NaN NaN NaN NaN NaN NaN NaN 1644331742.691 NaN NaN NaN NaN NaN NaN NaN NaN 
