dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-102
the8x3_filename: 00550102
filename_extension: tbd
filename_label: sunfish-2022-077-0-102-tbd(00550102)
mission_name: regm20.mi
fileopen_time: Fri_Apr_15_04:34:01_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-102
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649997296.195 33.287 369.753 88.866 NaN NaN NaN 
NaN NaN NaN 1649997300.195 NaN NaN NaN 3.17258 0.02185 3.389 
NaN NaN NaN 1649997361.195 NaN NaN NaN 3.17503 0.65969 3.4021 
0.00247157 1.0848 0.5548 1649997402.195 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649997417.195 33.286 369.25 88.822 NaN NaN NaN 
NaN NaN NaN 1649997422.195 NaN NaN NaN 3.17629 1.33324 3.4088 
NaN NaN NaN 1649997483.195 NaN NaN NaN 3.17685 1.85632 3.4098 
NaN NaN NaN 1649997538.195 33.284 369.055 88.813 NaN NaN NaN 
NaN NaN NaN 1649997544.195 NaN NaN NaN 3.17721 2.37121 3.4105 
NaN NaN NaN 1649997605.195 NaN NaN NaN 3.17732 2.96377 3.41 
NaN NaN NaN 1649997659.195 33.285 369.027 88.805 NaN NaN NaN 
NaN NaN NaN 1649997666.195 NaN NaN NaN 3.17793 3.5335 3.4121 
0.000237372 0.9944 0.4745 1649997703.195 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649997727.195 NaN NaN NaN 3.17809 4.11827 3.4114 
NaN NaN NaN 1649997780.195 33.295 368.679 88.728 NaN NaN NaN 
NaN NaN NaN 1649997788.195 NaN NaN NaN 3.17873 4.83266 3.4139 
NaN NaN NaN 1649997849.195 NaN NaN NaN 3.17865 5.45553 3.4095 
NaN NaN NaN 1649997901.195 33.3 368.581 88.7 NaN NaN NaN 
NaN NaN NaN 1649997910.195 NaN NaN NaN 3.17896 5.97964 3.4108 
NaN NaN NaN 1649997971.195 NaN NaN NaN 3.17921 6.56514 3.4113 
0.000231936 0.9944 0.4891 1649998004.195 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649998022.195 33.302 368.656 88.699 NaN NaN NaN 
