dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-16
the8x3_filename: 00550016
filename_extension: tbd
filename_label: sunfish-2022-077-0-16-tbd(00550016)
mission_name: regm20.mi
fileopen_time: Sat_Mar_26_22:53:55_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-16
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648335240.125 33.548 365.255 87.332 NaN NaN NaN 
NaN NaN NaN 1648335296 NaN NaN NaN 3.16103 0.01637 3.1991 
NaN NaN NaN 1648335357 NaN NaN NaN 3.16139 0.20552 3.2019 
NaN NaN NaN 1648335361 33.567 364.458 87.174 NaN NaN NaN 
NaN NaN NaN 1648335418 NaN NaN NaN 3.16202 0.68508 3.2033 
0.000414948 0.9944 0.3358 1648335421 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648335479 NaN NaN NaN 3.1626 1.2564 3.2044 
NaN NaN NaN 1648335482 33.567 364.141 87.143 NaN NaN NaN 
NaN NaN NaN 1648335540 NaN NaN NaN 3.16305 1.78219 3.2061 
NaN NaN NaN 1648335601 NaN NaN NaN 3.16309 2.3614 3.2051 
NaN NaN NaN 1648335603 33.572 363.921 87.102 NaN NaN NaN 
NaN NaN NaN 1648335662 NaN NaN NaN 3.16367 3.01992 3.206 
0.0001812 0.9944 0.3285 1648335722 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648335723 NaN NaN NaN 3.16456 3.58179 3.2109 
NaN NaN NaN 1648335724 33.581 363.552 87.027 NaN NaN NaN 
NaN NaN NaN 1648335784 NaN NaN NaN 3.16487 4.06283 3.2117 
NaN NaN NaN 1648335845 33.595 363.162 86.931 3.16524 4.70101 3.2121 
NaN NaN NaN 1648335906 NaN NaN NaN 3.16535 5.27806 3.2112 
NaN NaN NaN 1648335966 33.604 362.92 86.872 NaN NaN NaN 
NaN NaN NaN 1648335967 NaN NaN NaN 3.16577 5.9358 3.2116 
0.000170328 0.9944 0.3066 1648336023 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648336028 NaN NaN NaN 3.16585 6.58412 3.2121 
NaN NaN NaN 1648336087 33.612 362.72 86.821 NaN NaN NaN 
