dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-21
the8x3_filename: 00550021
filename_extension: tbd
filename_label: sunfish-2022-077-0-21-tbd(00550021)
mission_name: regm20.mi
fileopen_time: Sun_Mar_27_21:49:20_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-21
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000166704 0.9944 0.2847 1648417828.739 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648417837.739 33.462 362.925 87.465 NaN NaN NaN 
NaN NaN NaN 1648417841.739 NaN NaN NaN 3.18421 0.01986 3.4928 
NaN NaN NaN 1648417902.739 NaN NaN NaN 3.18515 0.35463 3.5004 
NaN NaN NaN 1648417958.739 33.466 362.34 87.391 NaN NaN NaN 
NaN NaN NaN 1648417963.739 NaN NaN NaN 3.1858 1.0375 3.5047 
NaN NaN NaN 1648418024.739 NaN NaN NaN 3.18707 1.65776 3.5128 
NaN NaN NaN 1648418079.739 33.475 361.85 87.306 NaN NaN NaN 
NaN NaN NaN 1648418085.739 NaN NaN NaN 3.18145 2.25033 3.4542 
0.000175764 0.904 0.2993 1648418129.739 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648418146.739 NaN NaN NaN 3.17521 2.79943 3.3855 
NaN NaN NaN 1648418200.739 33.466 364.323 87.583 NaN NaN NaN 
NaN NaN NaN 1648418207.739 NaN NaN NaN 3.17388 3.38406 3.361 
NaN NaN NaN 1648418268.739 NaN NaN NaN 3.17351 3.97336 3.3454 
NaN NaN NaN 1648418321.739 33.473 364.561 87.577 NaN NaN NaN 
NaN NaN NaN 1648418329.739 NaN NaN NaN 3.17348 4.57925 3.3359 
NaN NaN NaN 1648418390.739 NaN NaN NaN 3.17314 5.16645 3.3287 
0.000177576 0.9944 0.4015 1648418430.739 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648418442.739 33.502 364.126 87.412 NaN NaN NaN 
NaN NaN NaN 1648418451.739 NaN NaN NaN 3.17092 5.76531 3.2999 
NaN NaN NaN 1648418512.739 NaN NaN NaN 3.1693 6.36468 3.2735 
NaN NaN NaN 1648418563.739 33.504 364.834 87.473 NaN NaN NaN 
