dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-23
the8x3_filename: 00550023
filename_extension: tbd
filename_label: sunfish-2022-077-0-23-tbd(00550023)
mission_name: regm20.mi
fileopen_time: Mon_Mar_28_09:09:11_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-23
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648458606.005 33.427 367.891 88.095 NaN NaN NaN 
NaN NaN NaN 1648458610.005 NaN NaN NaN 3.16428 0.03158 3.2526 
0.000855264 1.1752 0.3723 1648458652.005 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648458671.005 NaN NaN NaN 3.16498 0.31296 3.2559 
NaN NaN NaN 1648458727.005 33.432 367.414 88.026 NaN NaN NaN 
NaN NaN NaN 1648458732.005 NaN NaN NaN 3.16592 0.94634 3.2582 
NaN NaN NaN 1648458793.005 NaN NaN NaN 3.1663 1.54891 3.2591 
NaN NaN NaN 1648458848.005 33.427 367.291 88.035 NaN NaN NaN 
NaN NaN NaN 1648458854.005 NaN NaN NaN 3.16659 2.20362 3.2573 
NaN NaN NaN 1648458915.005 NaN NaN NaN 3.16679 2.70746 3.2555 
0.000186636 0.9944 0.3723 1648458953.006 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648458969.006 33.441 366.876 87.936 NaN NaN NaN 
NaN NaN NaN 1648458976.006 NaN NaN NaN 3.16744 3.07486 3.2636 
NaN NaN NaN 1648459037.006 NaN NaN NaN 3.16653 3.49113 3.2439 
NaN NaN NaN 1648459090.006 33.463 366.928 87.847 NaN NaN NaN 
NaN NaN NaN 1648459098.006 NaN NaN NaN 3.16479 3.95388 3.2194 
NaN NaN NaN 1648459159.006 NaN NaN NaN 3.1636 4.50903 3.2012 
NaN NaN NaN 1648459211.006 33.516 365.632 87.503 NaN NaN NaN 
NaN NaN NaN 1648459220.006 NaN NaN NaN 3.16295 5.09227 3.1972 
0.000175764 0.9944 0.3577 1648459254.006 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648459281.006 NaN NaN NaN 3.16266 5.61525 3.1887 
NaN NaN NaN 1648459332.006 33.576 364.077 87.1 NaN NaN NaN 
