dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-31
the8x3_filename: 00550031
filename_extension: tbd
filename_label: sunfish-2022-077-0-31-tbd(00550031)
mission_name: regm20.mi
fileopen_time: Tue_Mar_29_19:22:58_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-31
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648581833.002 33.393 366.633 88.117 NaN NaN NaN 
NaN NaN NaN 1648581837.002 NaN NaN NaN 3.17775 0.01104 3.3846 
NaN NaN NaN 1648581898.002 NaN NaN NaN 3.17031 0.37632 3.3006 
NaN NaN NaN 1648581954.002 33.442 366.755 87.919 NaN NaN NaN 
NaN NaN NaN 1648581959.002 NaN NaN NaN 3.16617 1.0227 3.2504 
0.000188448 0.9944 0.292 1648581997.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648582020.002 NaN NaN NaN 3.16498 1.61617 3.2298 
NaN NaN NaN 1648582075.002 33.465 366.622 87.811 NaN NaN NaN 
NaN NaN NaN 1648582081.002 NaN NaN NaN 3.16441 2.22228 3.2241 
NaN NaN NaN 1648582142.002 NaN NaN NaN 3.16372 2.81936 3.2097 
NaN NaN NaN 1648582196.002 33.49 366.234 87.67 NaN NaN NaN 
NaN NaN NaN 1648582203.002 NaN NaN NaN 3.16398 3.41777 3.2084 
NaN NaN NaN 1648582264.002 NaN NaN NaN 3.16382 4.0329 3.2045 
0.000179388 0.9944 0.4453 1648582298.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648582317.002 33.501 366.034 87.603 NaN NaN NaN 
NaN NaN NaN 1648582325.002 NaN NaN NaN 3.16414 4.65093 3.2043 
NaN NaN NaN 1648582386.002 NaN NaN NaN 3.16488 5.26746 3.2063 
NaN NaN NaN 1648582438.003 33.547 364.595 87.272 NaN NaN NaN 
NaN NaN NaN 1648582447.003 NaN NaN NaN 3.16552 5.89666 3.2084 
NaN NaN NaN 1648582508.003 NaN NaN NaN 3.16738 6.51717 3.2212 
NaN NaN NaN 1648582559.003 33.651 361.46 86.536 NaN NaN NaN 
NaN NaN NaN 1648582568.003 NaN NaN NaN 3.16844 7.10791 3.2285 
