dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-33
the8x3_filename: 00550033
filename_extension: tbd
filename_label: sunfish-2022-077-0-33-tbd(00550033)
mission_name: regm20.mi
fileopen_time: Wed_Mar_30_06:44:11_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-33
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000862512 1.2656 0.3869 1648622687.946 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648622704 33.409 369.082 88.284 NaN NaN NaN 
NaN NaN NaN 1648622708 NaN NaN NaN 3.15925 0.01127 3.2114 
NaN NaN NaN 1648622769 NaN NaN NaN 3.16019 0.53972 3.2104 
NaN NaN NaN 1648622825 33.422 368.513 88.175 NaN NaN NaN 
NaN NaN NaN 1648622830 NaN NaN NaN 3.16084 1.27811 3.2103 
NaN NaN NaN 1648622891 NaN NaN NaN 3.1613 2.12606 3.2092 
NaN NaN NaN 1648622946 33.419 368.362 88.172 NaN NaN NaN 
NaN NaN NaN 1648622952 NaN NaN NaN 3.16144 2.82533 3.2039 
0.000195696 0.9944 0.3869 1648622988 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648623013 NaN NaN NaN 3.1607 3.34804 3.1951 
NaN NaN NaN 1648623067 33.449 367.854 87.998 NaN NaN NaN 
NaN NaN NaN 1648623074 NaN NaN NaN 3.15986 3.90392 3.1774 
NaN NaN NaN 1648623135 NaN NaN NaN 3.161 4.53189 3.1834 
NaN NaN NaN 1648623188 33.495 366.523 87.674 NaN NaN NaN 
NaN NaN NaN 1648623196 NaN NaN NaN 3.16125 5.17138 3.1826 
NaN NaN NaN 1648623257 NaN NaN NaN 3.16185 5.82478 3.1809 
0.000173952 0.9944 0.3577 1648623289 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648623309 33.527 365.704 87.464 NaN NaN NaN 
NaN NaN NaN 1648623318 NaN NaN NaN 3.16211 6.50826 3.1797 
NaN NaN NaN 1648623379 NaN NaN NaN 3.16222 7.18368 3.1766 
NaN NaN NaN 1648623430 33.557 364.897 87.259 NaN NaN NaN 
NaN NaN NaN 1648623440 NaN NaN NaN 3.16267 7.82788 3.1736 
