dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-40
the8x3_filename: 00550040
filename_extension: tbd
filename_label: sunfish-2022-077-0-40-tbd(00550040)
mission_name: regm20.mi
fileopen_time: Thu_Mar_31_17:09:51_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-40
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648746644.002 33.562 366.285 87.371 NaN NaN NaN 
NaN NaN NaN 1648746648.002 NaN NaN NaN 3.13668 0.01731 3.0919 
NaN NaN NaN 1648746709.002 NaN NaN NaN 3.13645 0.53193 3.0867 
0.000204756 0.9944 0.1825 1648746729.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648746765.002 33.569 365.92 87.305 NaN NaN NaN 
NaN NaN NaN 1648746770.002 NaN NaN NaN 3.13785 1.28956 3.0827 
NaN NaN NaN 1648746831.002 NaN NaN NaN 3.14322 1.9848 3.1187 
NaN NaN NaN 1648746886.002 33.592 364.461 87.069 NaN NaN NaN 
NaN NaN NaN 1648746892.002 NaN NaN NaN 3.14772 2.63663 3.1512 
NaN NaN NaN 1648746953.002 NaN NaN NaN 3.15394 3.27512 3.1963 
NaN NaN NaN 1648747007.002 33.601 362.905 86.883 NaN NaN NaN 
NaN NaN NaN 1648747014.002 NaN NaN NaN 3.16178 3.87074 3.2372 
0.0001812 0.9944 0.4818 1648747030.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648747075.002 NaN NaN NaN 3.16657 4.47247 3.2393 
NaN NaN NaN 1648747128.002 33.578 363.153 87.002 NaN NaN NaN 
NaN NaN NaN 1648747136.002 NaN NaN NaN 3.17033 5.11717 3.2687 
NaN NaN NaN 1648747197.002 NaN NaN NaN 3.19262 5.7655 3.4746 
NaN NaN NaN 1648747249.002 33.764 352.907 85.24 NaN NaN NaN 
NaN NaN NaN 1648747258.002 NaN NaN NaN 3.20517 6.40512 3.6056 
NaN NaN NaN 1648747319.002 NaN NaN NaN 3.23523 7.04214 3.8939 
0.000146772 0.9944 0.0438 1648747331.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648747370.002 34.012 340.94 83.064 NaN NaN NaN 
