dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-43
the8x3_filename: 00550043
filename_extension: tbd
filename_label: sunfish-2022-077-0-43-tbd(00550043)
mission_name: regm20.mi
fileopen_time: Fri_Apr__1_15:52:55_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-43
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648828383.496 0 0 0 NaN NaN NaN 
NaN NaN NaN 1648828430.496 NaN NaN NaN 3.11348 0.02831 2.9011 
NaN NaN NaN 1648828491.496 NaN NaN NaN 3.11354 0.49888 2.8949 
NaN NaN NaN 1648828501.496 33.666 366.022 86.912 NaN NaN NaN 
NaN NaN NaN 1648828552.496 NaN NaN NaN 3.11334 1.0797 2.8902 
0.000239184 1.0848 0.2117 1648828561.496 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648828613.496 NaN NaN NaN 3.11389 1.61899 2.8943 
NaN NaN NaN 1648828622.496 33.686 365.552 86.785 NaN NaN NaN 
NaN NaN NaN 1648828674.496 NaN NaN NaN 3.11683 2.08212 2.914 
NaN NaN NaN 1648828735.496 NaN NaN NaN 3.11681 2.5427 2.9118 
NaN NaN NaN 1648828743.496 33.698 365.053 86.687 NaN NaN NaN 
NaN NaN NaN 1648828796.496 NaN NaN NaN 3.12085 3.06044 2.9347 
NaN NaN NaN 1648828857.497 NaN NaN NaN 3.12306 3.52215 2.9671 
0.000192072 0.9944 0.4964 1648828862.497 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648828864.497 33.703 364.101 86.576 NaN NaN NaN 
NaN NaN NaN 1648828918.497 NaN NaN NaN 3.13667 3.97898 3.0782 
NaN NaN NaN 1648828979.497 NaN NaN NaN 3.15312 4.45792 3.2186 
NaN NaN NaN 1648828985.497 33.711 360.405 86.185 NaN NaN NaN 
NaN NaN NaN 1648829040.497 NaN NaN NaN 3.1859 4.94638 3.4965 
NaN NaN NaN 1648829101.497 NaN NaN NaN 3.19509 5.4003 3.5828 
NaN NaN NaN 1648829106.497 33.932 348.429 84.121 NaN NaN NaN 
NaN NaN NaN 1648829162.497 NaN NaN NaN 3.20006 5.86688 3.6296 
