dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-50
the8x3_filename: 00550050
filename_extension: tbd
filename_label: sunfish-2022-077-0-50-tbd(00550050)
mission_name: regm20.mi
fileopen_time: Sun_Apr__3_13:42:13_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-50
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648993344.997 0 0 0 NaN NaN NaN 
NaN NaN NaN 1648993391.002 NaN NaN NaN 3.18879 0.01109 3.5718 
NaN NaN NaN 1648993452.002 NaN NaN NaN 3.18829 0.40068 3.5614 
NaN NaN NaN 1648993466.002 33.254 366.811 88.72 NaN NaN NaN 
NaN NaN NaN 1648993513.002 NaN NaN NaN 3.18777 1.11234 3.551 
0.000221064 0.9944 0.2044 1648993525.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648993574.002 NaN NaN NaN 3.18787 1.66996 3.5527 
NaN NaN NaN 1648993587.002 33.279 366.651 88.599 NaN NaN NaN 
NaN NaN NaN 1648993635.002 NaN NaN NaN 3.18812 2.19439 3.5489 
NaN NaN NaN 1648993696.002 NaN NaN NaN 3.18842 2.78727 3.5499 
NaN NaN NaN 1648993708.002 33.291 366.446 88.527 NaN NaN NaN 
NaN NaN NaN 1648993757.002 NaN NaN NaN 3.18873 3.42807 3.5503 
NaN NaN NaN 1648993818.002 NaN NaN NaN 3.18894 4.04657 3.5492 
0.000197508 0.9944 0.511 1648993826.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648993829.002 33.302 366.211 88.457 NaN NaN NaN 
NaN NaN NaN 1648993879.002 NaN NaN NaN 3.18913 4.68401 3.5492 
NaN NaN NaN 1648993940.002 NaN NaN NaN 3.18982 5.3005 3.5539 
NaN NaN NaN 1648993950.002 33.312 365.893 88.383 NaN NaN NaN 
NaN NaN NaN 1648994001.002 NaN NaN NaN 3.19028 5.80687 3.5508 
NaN NaN NaN 1648994062.002 NaN NaN NaN 3.19058 6.34693 3.5511 
NaN NaN NaN 1648994071.002 33.322 365.651 88.317 NaN NaN NaN 
NaN NaN NaN 1648994123.002 NaN NaN NaN 3.19078 6.88978 3.5489 
