dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-59
the8x3_filename: 00550059
filename_extension: sbd
filename_label: sunfish-2022-077-0-59-sbd(00550059)
mission_name: regm20.mi
fileopen_time: Tue_Apr__5_11:54:18_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-59
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN 20 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 18.8908 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649159672.378 NaN NaN NaN NaN 9.6981 NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.062492 0.0079879 NaN NaN NaN NaN NaN NaN 1649159688.392 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.36562 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649159696 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5354.38000016891 -5039.58209999863 NaN 1649159700.008 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0191005 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649159712.054 0.00191005 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.02213 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649159804.173 0.602213 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0804208 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.54113 NaN NaN -0.417134 1649159816.186 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 17.5043 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649159914.264 1.75043 NaN 0.0523599 NaN NaN -0.062492 0.0079879 NaN 
-0.267821 NaN -0.0222045 NaN NaN NaN NaN NaN NaN NaN 14.6481 -0.218879 29.5103 NaN -0.0376329 NaN NaN NaN NaN NaN NaN NaN NaN 1649160034.288 2.95103 NaN 0.0488692 NaN NaN NaN NaN NaN 
NaN NaN NaN 1.36573 NaN NaN NaN NaN NaN 0.101949 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160124.306 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 41.6474 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160154.312 4.16474 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.95295 NaN NaN -0.361283 1649160244.33 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 54.5484 -272.2 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160274.335 5.45484 NaN 0.0575959 NaN 7.90964 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5354.41186825808 -5039.52332648257 NaN 1649160304.34 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 67.1438 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160394.358 6.71438 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.106922 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160424.364 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.267821 NaN 0.180877 NaN NaN NaN NaN NaN NaN NaN 14.6359 -0.218879 NaN NaN 0.138952 NaN NaN NaN NaN NaN NaN NaN NaN 1649160454.37 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 79.9794 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160514.38 7.99794 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN 1.36877 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160544.386 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 92.2256 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160634.404 9.22256 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.02276 NaN NaN -0.354302 1649160664.41 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.103172 NaN NaN 104.646 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160754.427 10.4646 NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.267821 NaN 0.0431108 NaN NaN NaN NaN NaN NaN NaN 14.6307 -0.218879 116.587 NaN 0.0607917 NaN NaN NaN NaN NaN NaN NaN NaN 1649160874.452 11.6587 NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -272.608 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1649160904.457 NaN NaN NaN NaN 7.9044 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5354.47762221179 -5039.44915304588 NaN 1649160934.462 NaN NaN NaN NaN NaN NaN NaN NaN 
