dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-64
the8x3_filename: 00550064
filename_extension: tbd
filename_label: sunfish-2022-077-0-64-tbd(00550064)
mission_name: regm20.mi
fileopen_time: Wed_Apr__6_11:34:37_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-64
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649244898.31 NaN NaN NaN 0 0 0 
NaN NaN NaN 1649244957.31 33.32 367.09 88.47 NaN NaN NaN 
NaN NaN NaN 1649244958.31 NaN NaN NaN 3.17845 0.03878 3.4894 
NaN NaN NaN 1649245019.31 NaN NaN NaN 3.18073 0.50636 3.4889 
NaN NaN NaN 1649245078.31 33.317 366.811 88.455 NaN NaN NaN 
NaN NaN NaN 1649245080.31 NaN NaN NaN 3.1819 1.11045 3.4889 
0.000266364 0.9944 0.4891 1649245137.31 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649245141.31 NaN NaN NaN 3.18285 1.58825 3.489 
NaN NaN NaN 1649245199.31 33.322 366.62 88.413 NaN NaN NaN 
NaN NaN NaN 1649245202.31 NaN NaN NaN 3.1834 2.18196 3.4893 
NaN NaN NaN 1649245263.31 NaN NaN NaN 3.18388 2.84127 3.4899 
NaN NaN NaN 1649245320.31 33.327 366.52 88.381 NaN NaN NaN 
NaN NaN NaN 1649245324.31 NaN NaN NaN 3.18404 3.50853 3.4886 
NaN NaN NaN 1649245385.31 NaN NaN NaN 3.18443 4.21107 3.4879 
0.000248244 0.9944 0.5183 1649245438.31 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649245441.31 33.333 366.314 88.338 NaN NaN NaN 
NaN NaN NaN 1649245446.31 NaN NaN NaN 3.18474 4.86461 3.4877 
NaN NaN NaN 1649245507.31 NaN NaN NaN 3.18477 5.38645 3.4866 
NaN NaN NaN 1649245562.31 33.341 366.093 88.281 NaN NaN NaN 
NaN NaN NaN 1649245568.31 NaN NaN NaN 3.18484 6.0505 3.4834 
NaN NaN NaN 1649245629.31 NaN NaN NaN 3.18425 6.63334 3.4704 
NaN NaN NaN 1649245683.31 33.382 365.195 88.02 NaN NaN NaN 
