dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-73
the8x3_filename: 00550073
filename_extension: tbd
filename_label: sunfish-2022-077-0-73-tbd(00550073)
mission_name: regm20.mi
fileopen_time: Thu_Apr__7_22:21:57_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-73
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649370168.896 33.273 369.916 88.943 NaN NaN NaN 
NaN NaN NaN 1649370172.896 NaN NaN NaN 3.17862 0.02366 3.4069 
0.000222876 0.9944 0.5329 1649370226.896 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649370233.896 NaN NaN NaN 3.17925 0.35688 3.4107 
NaN NaN NaN 1649370289.896 33.274 369.549 88.903 NaN NaN NaN 
NaN NaN NaN 1649370294.896 NaN NaN NaN 3.17961 0.99759 3.4125 
NaN NaN NaN 1649370355.896 NaN NaN NaN 3.17982 1.59592 3.4131 
NaN NaN NaN 1649370410.896 33.277 369.251 88.862 NaN NaN NaN 
NaN NaN NaN 1649370416.896 NaN NaN NaN 3.18036 2.15403 3.4132 
NaN NaN NaN 1649370477.896 NaN NaN NaN 3.18047 2.62337 3.4146 
0.000206568 0.9944 0.5256 1649370527.896 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649370531.896 33.277 369.186 88.855 NaN NaN NaN 
NaN NaN NaN 1649370538.896 NaN NaN NaN 3.18074 3.0676 3.4153 
NaN NaN NaN 1649370599.896 NaN NaN NaN 3.18118 3.59435 3.4155 
NaN NaN NaN 1649370652.896 33.288 368.838 88.774 NaN NaN NaN 
NaN NaN NaN 1649370660.896 NaN NaN NaN 3.18136 4.09712 3.4165 
NaN NaN NaN 1649370721.896 NaN NaN NaN 3.18201 4.64775 3.4205 
NaN NaN NaN 1649370773.896 33.288 368.741 88.764 NaN NaN NaN 
NaN NaN NaN 1649370782.896 NaN NaN NaN 3.18252 5.16452 3.4235 
0.000219252 0.9944 0.5329 1649370828.896 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649370843.896 NaN NaN NaN 3.18265 5.63641 3.424 
NaN NaN NaN 1649370894.896 33.289 368.679 88.753 NaN NaN NaN 
