dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-82
the8x3_filename: 00550082
filename_extension: tbd
filename_label: sunfish-2022-077-0-82-tbd(00550082)
mission_name: regm20.mi
fileopen_time: Sat_Apr__9_21:05:46_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-82
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649538401.002 33.219 372.517 89.428 NaN NaN NaN 
NaN NaN NaN 1649538405.002 NaN NaN NaN 3.16465 0.03877 3.3554 
NaN NaN NaN 1649538466.002 NaN NaN NaN 3.16506 0.32171 3.3566 
0.000240996 0.9944 0.5767 1649538469.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649538522.002 33.238 372.084 89.303 NaN NaN NaN 
NaN NaN NaN 1649538527.002 NaN NaN NaN 3.16058 0.95984 3.3072 
NaN NaN NaN 1649538588.002 NaN NaN NaN 3.16055 1.60793 3.3018 
NaN NaN NaN 1649538643.002 33.271 371.408 89.097 NaN NaN NaN 
NaN NaN NaN 1649538649.002 NaN NaN NaN 3.16001 2.26118 3.2933 
NaN NaN NaN 1649538710.002 NaN NaN NaN 3.16014 2.91285 3.2902 
NaN NaN NaN 1649538764.002 33.28 371.233 89.042 NaN NaN NaN 
0.000222876 0.9944 0.5621 1649538770.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649538771.002 NaN NaN NaN 3.1603 3.56155 3.288 
NaN NaN NaN 1649538832.002 NaN NaN NaN 3.16054 4.20966 3.2874 
NaN NaN NaN 1649538885.002 33.3 370.637 88.899 NaN NaN NaN 
NaN NaN NaN 1649538893.002 NaN NaN NaN 3.16092 4.85472 3.2902 
NaN NaN NaN 1649538954.002 NaN NaN NaN 3.16113 5.49629 3.2888 
NaN NaN NaN 1649539006.002 33.311 370.211 88.81 NaN NaN NaN 
NaN NaN NaN 1649539015.002 NaN NaN NaN 3.16169 6.12018 3.2902 
0.00021744 0.9944 0.5402 1649539071.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649539076.002 NaN NaN NaN 3.16197 6.73432 3.2925 
NaN NaN NaN 1649539127.002 33.326 369.784 88.705 NaN NaN NaN 
