dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-88
the8x3_filename: 00550088
filename_extension: tbd
filename_label: sunfish-2022-077-0-88-tbd(00550088)
mission_name: regm20.mi
fileopen_time: Mon_Apr_11_07:49:04_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-88
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649663395.608 33.311 372.663 89.047 NaN NaN NaN 
NaN NaN NaN 1649663399.608 NaN NaN NaN 3.14596 0.01035 3.1723 
0.000318912 0.9944 0.6351 1649663454.608 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649663460.608 NaN NaN NaN 3.14647 0.37883 3.1762 
NaN NaN NaN 1649663516.608 33.31 372.35 89.022 NaN NaN NaN 
NaN NaN NaN 1649663521.608 NaN NaN NaN 3.14679 1.15623 3.175 
NaN NaN NaN 1649663582.608 NaN NaN NaN 3.15063 1.74844 3.2031 
NaN NaN NaN 1649663637.608 33.304 372.015 89.015 NaN NaN NaN 
NaN NaN NaN 1649663643.608 NaN NaN NaN 3.15155 2.13776 3.2122 
NaN NaN NaN 1649663704.608 NaN NaN NaN 3.15275 2.56501 3.2204 
0.000237372 0.9944 0.6059 1649663755.608 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649663758.608 33.299 371.698 89.005 NaN NaN NaN 
NaN NaN NaN 1649663765.608 NaN NaN NaN 3.15438 3.1297 3.2324 
NaN NaN NaN 1649663826.608 NaN NaN NaN 3.15425 3.67677 3.2328 
NaN NaN NaN 1649663879.608 33.294 371.419 88.998 NaN NaN NaN 
NaN NaN NaN 1649663887.608 NaN NaN NaN 3.15736 4.24387 3.257 
NaN NaN NaN 1649663948.608 NaN NaN NaN 3.15797 4.80775 3.2543 
NaN NaN NaN 1649664000.608 33.319 370.519 88.807 NaN NaN NaN 
NaN NaN NaN 1649664009.608 NaN NaN NaN 3.15907 5.36157 3.2587 
0.000219252 0.9944 0.4088 1649664056.608 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649664070.608 NaN NaN NaN 3.16401 5.89497 3.2925 
NaN NaN NaN 1649664121.608 33.371 368.281 88.367 NaN NaN NaN 
