dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-96
the8x3_filename: 00550096
filename_extension: tbd
filename_label: sunfish-2022-077-0-96-tbd(00550096)
mission_name: regm20.mi
fileopen_time: Wed_Apr_13_17:51:04_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-96
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649872325.406 33.306 366.632 88.481 NaN NaN NaN 
NaN NaN NaN 1649872329.406 NaN NaN NaN 3.18412 0.00253 3.5343 
0.00156013 1.5368 0.1825 1649872363.406 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649872390.406 NaN NaN NaN 3.18501 0.36107 3.5339 
NaN NaN NaN 1649872446.406 33.3 366.41 88.485 NaN NaN NaN 
NaN NaN NaN 1649872451.406 NaN NaN NaN 3.18583 0.87566 3.5313 
NaN NaN NaN 1649872512.406 NaN NaN NaN 3.18647 1.38641 3.5314 
NaN NaN NaN 1649872567.406 33.315 366.038 88.385 NaN NaN NaN 
NaN NaN NaN 1649872573.406 NaN NaN NaN 3.18693 1.85243 3.5307 
NaN NaN NaN 1649872634.406 NaN NaN NaN 3.18727 2.41529 3.5318 
0.000213816 0.9944 0.4453 1649872664.406 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649872688.406 33.316 366.045 88.382 NaN NaN NaN 
NaN NaN NaN 1649872695.406 NaN NaN NaN 3.18778 3.00632 3.5336 
NaN NaN NaN 1649872756.406 NaN NaN NaN 3.18801 3.54582 3.534 
NaN NaN NaN 1649872809.406 33.327 365.767 88.308 NaN NaN NaN 
NaN NaN NaN 1649872817.406 NaN NaN NaN 3.18823 4.11997 3.534 
NaN NaN NaN 1649872878.406 NaN NaN NaN 3.18852 4.72506 3.5335 
NaN NaN NaN 1649872930.406 33.334 365.563 88.261 NaN NaN NaN 
NaN NaN NaN 1649872939.406 NaN NaN NaN 3.18877 5.29774 3.534 
0.00025368 0.9944 0.4599 1649872965.406 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649873000.406 NaN NaN NaN 3.18909 5.97053 3.5337 
NaN NaN NaN 1649873051.406 33.342 365.407 88.209 NaN NaN NaN 
