dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-109
the8x3_filename: 00560109
filename_extension: sbd
filename_label: sunfish-2022-110-0-109-sbd(00560109)
mission_name: regm20.mi
fileopen_time: Thu_May_19_20:09:23_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-109
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0409681 -0.206455 NaN NaN NaN NaN NaN NaN 1652990993.437 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 62.2916 NaN NaN NaN NaN NaN NaN 5127.88150013473 -5019.13609999798 NaN 1652991007.864 NaN NaN NaN NaN 9.94012 NaN NaN 3 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.23996 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991019.898 0.023996 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991055.987 NaN NaN NaN 1 NaN NaN NaN NaN 
NaN NaN NaN 3.75 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991092.015 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.116743 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991108.031 NaN NaN 0.0680678 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 9.14028 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991112.368 0.914028 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 21.2473 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991206.388 2.12473 NaN 0.0663225 NaN NaN 0.0409681 -0.206455 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 33.1362 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991296.405 3.31362 NaN 0.0488692 NaN NaN NaN NaN NaN 
-0.406147 NaN 0.059101 NaN -0.3491 NaN NaN NaN NaN NaN 14.6463 -0.375868 NaN NaN 0.0607917 NaN NaN NaN NaN 3.57443 NaN NaN -0.338594 1652991356.417 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.135573 NaN NaN 49.4099 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991416.429 4.94099 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.75012 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991506.447 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 65.3563 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991536.453 6.53563 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -296.722 NaN NaN NaN NaN NaN NaN 5127.77743318188 -5019.14796686097 NaN 1652991626.47 NaN NaN NaN NaN 8.06389 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 80.0375 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991656.476 8.00375 NaN 0.0488692 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.115395 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991746.494 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.406147 NaN 0.123664 NaN -0.3491 NaN NaN NaN NaN NaN 14.5897 -0.377486 93.1044 NaN 0.118689 NaN NaN NaN NaN 3.30042 NaN NaN -0.319395 1652991776.5 9.31044 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 105.277 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991896.521 10.5277 NaN 0.0663225 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.75103 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652991926.527 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 117.122 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652992016.544 11.7122 NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.10243 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652992076.557 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 129.753 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652992136.569 12.9753 NaN 0.0593412 NaN NaN NaN NaN NaN 
-0.406147 NaN 0.0439795 NaN -0.3491 NaN NaN NaN NaN NaN 14.5807 -0.377486 NaN NaN 0.0492123 NaN NaN NaN NaN 3.89732 NaN NaN -0.321141 1652992196.581 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 142.798 -297.04 NaN NaN NaN NaN NaN NaN 5127.69153030758 -5019.14845178347 NaN 1652992256.591 14.2798 NaN 0.0488692 NaN 8.01673 NaN NaN 0 
NaN NaN NaN 3.75124 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1652992346.608 NaN NaN NaN NaN NaN NaN NaN NaN 
